stockid,stockname,date,SD,LD
000001.SZ,平安银行,20140930,195887300.00 ,5681300.00 
000001.SZ,平安银行,20140630,198057800.00 ,3268600.00 
000001.SZ,平安银行,20140331,195151700.00 ,2607600.00 
000001.SZ,平安银行,20131231,176216600.00 ,1534500.00 
000001.SZ,平安银行,20130930,174397600.00 ,1536700.00 
000001.SZ,平安银行,20130630,171888600.00 ,1547800.00 
000001.SZ,平安银行,20130331,170087800.00 ,1956700.00 
000001.SZ,平安银行,20121231,149807653.80 ,2060966.70 
000001.SZ,平安银行,20120930,134456270.10 ,2147339.10 
000001.SZ,平安银行,20120630,136036129.90 ,2412866.60 
000001.SZ,平安银行,20120331,121862371.30 ,2184907.80 
000001.SZ,平安银行,20111231,108864475.80 ,2359086.80 
000001.SZ,平安银行,20110930,106659047.50 ,2197237.60 
000001.SZ,平安银行,20110630,78338550.40 ,1800081.90 
000001.SZ,平安银行,20110331,75119318.00 ,1287855.30 
000001.SZ,平安银行,20101231,67854452.50 ,1043184.90 
000001.SZ,平安银行,20100930,63010273.60 ,1133338.70 
000001.SZ,平安银行,20100630,58066149.60 ,1121697.90 
000001.SZ,平安银行,20100331,58417465.90 ,1222465.40 
000001.SZ,平安银行,20091231,55511610.20 ,1137444.20 
000001.SZ,平安银行,20090930,52330984.30 ,1140910.80 
000001.SZ,平安银行,20090630,51125738.40 ,1177685.50 
000001.SZ,平安银行,20090331,49436337.40 ,1040111.50 
000001.SZ,平安银行,20081231,44837969.40 ,915220.60 
000001.SZ,平安银行,20080930,41354504.00 ,848907.60 
000001.SZ,平安银行,20080630,41310444.80 ,1001709.80 
000001.SZ,平安银行,20080331,38609278.90 ,933975.10 
000001.SZ,平安银行,20071231,33774869.00 ,178460.80 
000001.SZ,平安银行,20070930,33022070.30 ,194268.30 
000001.SZ,平安银行,20070630,30416912.10 ,218840.70 
000001.SZ,平安银行,20070331,27704301.04 ,350950.65 
000001.SZ,平安银行,20061231,25256019.42 ,154160.58 
000001.SZ,平安银行,20060930,23972724.28 ,30176.66 
000001.SZ,平安银行,20060630,23682239.97 ,27220.31 
000001.SZ,平安银行,20060331,17853934.17 ,5575409.99 
000001.SZ,平安银行,20051231,21590247.34 ,136780.26 
000001.SZ,平安银行,20050930,17003062.77 ,4547035.01 
000001.SZ,平安银行,20050630,16557018.06 ,4004328.89 
000001.SZ,平安银行,20050331,15717931.72 ,3918588.37 
000001.SZ,平安银行,20041231,15316619.24 ,4643556.93 
000001.SZ,平安银行,20040930,19447607.39 ,0.00 
000001.SZ,平安银行,20040630,18557087.90 ,1337276.04 
000001.SZ,平安银行,20040331,19909601.60 ,922261.99 
000001.SZ,平安银行,20031231,12798162.68 ,6107689.95 
000001.SZ,平安银行,20030930,18262533.46 ,678906.74 
000001.SZ,平安银行,20030630,16339373.83 ,773085.67 
000001.SZ,平安银行,20030331,15387699.67 ,466919.08 
000001.SZ,平安银行,20021231,15929807.11 ,310028.69 
000001.SZ,平安银行,20020930,15596377.72 ,0.00 
000001.SZ,平安银行,20020630,13074716.43 ,0.00 
000001.SZ,平安银行,20020331,10687663.64 ,0.00 
000001.SZ,平安银行,20011231,11649931.46 ,0.00 
000001.SZ,平安银行,20010630,8021960.26 ,0.00 
000001.SZ,平安银行,20001231,6248861.61 ,0.00 
000001.SZ,平安银行,20000630,4665382.40 ,0.00 
000001.SZ,平安银行,19991231,4296814.13 ,0.00 
000001.SZ,平安银行,19990630,3479456.37 ,0.00 
000001.SZ,平安银行,19981231,3572349.54 ,0.00 
000001.SZ,平安银行,19980630,3109639.82 ,0.00 
000001.SZ,平安银行,19971231,2839794.70 ,0.00 
000001.SZ,平安银行,19970630,2754946.63 ,0.00 
000001.SZ,平安银行,19961231,2748234.28 ,0.00 
000001.SZ,平安银行,19960630,2197187.41 ,0.00 
000001.SZ,平安银行,19951231,1835193.66 ,0.00 
000001.SZ,平安银行,19950630,1557160.40 ,0.00 
000001.SZ,平安银行,19941231,1382857.90 ,0.00 
000001.SZ,平安银行,19940630,1095304.04 ,0.00 
000001.SZ,平安银行,19931231,811440.71 ,0.00 
000001.SZ,平安银行,19921231,19589.32 ,0.00 
000001.SZ,平安银行,19911231,7723.00 ,0.00 
000001.SZ,平安银行,19901231,5628.00 ,0.00 
000001.SZ,平安银行,19891231,3983.00 ,0.00 
002142.SZ,宁波银行,20140930,45478224.90 ,5040731.00 
002142.SZ,宁波银行,20140630,46589696.40 ,2911112.40 
002142.SZ,宁波银行,20140331,47240142.80 ,3198906.60 
002142.SZ,宁波银行,20131231,40951315.70 ,3273755.60 
002142.SZ,宁波银行,20130930,39526473.40 ,3216004.60 
002142.SZ,宁波银行,20130630,38635290.00 ,3292834.20 
002142.SZ,宁波银行,20130331,37782842.80 ,2041282.60 
