date,rf_year
19581001,7.92 
19590101,4.80 
19590701,6.12 
19650601,3.96 
19711001,3.24 
19790401,3.96 
19800401,5.76 
19820401,6.84 
19850801,7.20 
19880901,8.64 
19890201,11.34 
19900415,10.08 
19900821,8.64 
19910421,7.56 
19930515,9.18 
19930711,10.98 
19960501,9.18 
19960823,7.47 
19971023,5.67 
19980325,5.22 
19980701,4.77 
19981207,3.78 
19990610,2.25 
20020221,1.98 
20041029,2.25 
20060819,2.52 
20070318,2.79 
20070519,3.06 
20070721,3.33 
20070822,3.60 
20070915,3.87 
20071221,4.14 
20081009,3.87 
20081015,3.87 
20081030,3.60 
20081127,2.52 
20081223,2.25 
20101020,2.50 
20101226,2.75 
20110209,3.00 
20110406,3.25 
20110707,3.50 
20120608,3.25 
20120706,3.00 
20141122,2.75 
