year,quarter,rf_yq
1958,4,1.980000019
1959,1,1.200000048
1959,3,1.529999971
1965,2,0.99000001
1971,4,0.810000002
1979,2,0.99000001
1980,2,1.440000057
1982,2,1.710000038
1985,3,1.799999952
1988,3,2.160000086
1989,1,2.835000038
1990,1,2.835000038
1990,2,2.519999981
1990,3,2.160000086
1990,4,2.160000086
1991,1,2.160000086
1991,2,1.889999986
1991,3,1.889999986
1991,4,1.889999986
1992,1,1.889999986
1992,2,1.889999986
1992,3,1.889999986
1992,4,1.889999986
1993,1,1.889999986
1993,2,2.295000076
1993,3,2.744999886
1993,4,2.744999886
1994,1,2.744999886
1994,2,2.744999886
1994,3,2.744999886
1994,4,2.744999886
1995,1,2.744999886
1995,2,2.744999886
1995,3,2.744999886
1995,4,2.744999886
1996,1,2.744999886
1996,2,2.295000076
1996,3,1.867499948
1996,4,1.867499948
1997,1,1.867499948
1997,2,1.867499948
1997,3,1.867499948
1997,4,1.417500019
1998,1,1.304999948
1998,2,1.304999948
1998,3,1.192499995
1998,4,0.944999993
1999,1,0.944999993
1999,2,0.5625
1999,3,0.5625
1999,4,0.5625
2000,1,0.5625
2000,2,0.5625
2000,3,0.5625
2000,4,0.5625
2001,1,0.5625
2001,2,0.5625
2001,3,0.5625
2001,4,0.5625
2002,1,0.495000005
2002,2,0.495000005
2002,3,0.495000005
2002,4,0.495000005
2003,1,0.495000005
2003,2,0.495000005
2003,3,0.495000005
2003,4,0.495000005
2004,1,0.495000005
2004,2,0.495000005
2004,3,0.495000005
2004,4,0.5625
2005,1,0.5625
2005,2,0.5625
2005,3,0.5625
2005,4,0.5625
2006,1,0.5625
2006,2,0.5625
2006,3,0.629999995
2006,4,0.629999995
2007,1,0.69749999
2007,2,0.764999986
2007,3,0.899999976
2007,4,1.034999967
2008,1,1.034999967
2008,2,1.034999967
2008,3,1.034999967
2008,4,0.805499971
2009,1,0.805499971
2009,2,0.805499971
2009,3,0.805499971
2009,4,0.805499971
2010,1,0.805499971
2010,2,0.805499971
2010,3,0.805499971
2010,4,0.65625
2011,1,0.75
2011,2,0.8125
2011,3,0.875
2011,4,0.875
2012,1,0.875
2012,2,0.8125
2012,3,0.75
2012,4,0.75
2013,1,0.75
2013,2,0.75
2013,3,0.75
2013,4,0.75
2014,1,0.75
2014,2,0.75
2014,3,0.75
2014,4,0.6875
