stockid,stockname,year,quarter,rf,SV,sigma_SV,AV,sigma_AV,DP,DD,EDF
1,平安银行,1991,4,0.0189,1355703680,0.480538934,1431487740,0.455098834,77230000,2.078777323,0.018818911
1,平安银行,1992,4,0.0189,3531376640,0.247659221,3723602227,0.234874172,195893200,4.033612865,2.75E-05
1,平安银行,1993,4,0.027449999,1987998848,0.118391007,9882694629,0.023815487,8114406912,7.51308127,2.89E-14
1,平安银行,1994,2,0.027449999,1343602304,0.279159069,12000064283,0.031258524,10953039872,2.791288738,0.002624931
1,平安银行,1994,4,0.027449999,4834058240,0.240869716,18288204536,0.063668296,13828578304,3.830047524,6.41E-05
1,平安银行,1995,2,0.027449999,4295666176,0.315688074,19445591458,0.069748212,15571603456,2.856301426,0.00214304
1,平安银行,1995,4,0.027449999,3718931712,0.098639257,21573957871,0.017003494,18351935488,8.783357422,7.93E-19
1,平安银行,1996,2,0.022950001,9634626560,0.384855151,31107187841,0.119290679,21971875840,2.461819015,0.00691172
1,平安银行,1996,4,0.018674999,17989625856,0.252041966,44963499020,0.100840492,27482343424,3.855450068,5.78E-05
1,平安银行,1997,2,0.018674999,35833319424,0.365675628,62873024846,0.208413492,27549466624,2.695716766,0.003511868
1,平安银行,1997,4,0.014175001,37572927488,0.137456849,65571173030,0.078764127,28397946880,7.197618681,3.06E-13
1,平安银行,1998,2,0.013049999,31378833408,0.115013488,62072059680,0.058141925,31096397824,8.58291928,4.62E-18
1,平安银行,1998,4,0.00945,23858921472,0.131363407,59246417929,0.052900906,35723493376,7.505266275,3.07E-14
1,平安银行,1999,2,0.005625,26050906112,0.267132521,60650297163,0.114740523,34794561536,3.71541338,0.000101436
1,平安银行,1999,4,0.005625,31817074688,0.141386986,74544199201,0.06034702,42968141824,7.019209733,1.12E-12
1,平安银行,2000,2,0.005625,28596920320,0.094311997,74989054264,0.035965685,46653825024,10.50607563,4.05E-26
1,平安银行,2000,4,0.005625,28787304448,0.10116186,90925409662,0.032028201,62488616960,9.764787704,7.97E-23
1,平安银行,2001,2,0.005625,30899007488,0.089029744,1.11E+11,0.024857364,80219602944,11.06863162,8.90E-29
1,平安银行,2001,4,0.005625,25458370560,0.157882512,1.41E+11,0.028445235,1.16E+11,6.171246263,3.39E-10
1,平安银行,2002,1,0.00495,21244563456,0.221540764,1.28E+11,0.036886985,1.07E+11,4.401712834,5.37E-06
1,平安银行,2002,2,0.00495,22189506560,0.194785073,1.52E+11,0.028381078,1.31E+11,4.984494802,3.11E-07
1,平安银行,2002,3,0.00495,28889470976,0.138499185,1.84E+11,0.021735658,1.56E+11,7.027787,1.05E-12
1,平安银行,2002,4,0.00495,23824519168,0.125472128,1.84E+11,0.016257002,1.61E+11,7.704207241,6.58E-15
1,平安银行,2003,1,0.00495,21552412672,0.167961687,1.77E+11,0.020452708,1.56E+11,5.740661366,4.72E-09
1,平安银行,2003,2,0.00495,23792037888,0.186909825,1.90E+11,0.02337736,1.67E+11,5.164454282,1.21E-07
1,平安银行,2003,3,0.00495,20398407680,0.107551947,2.06E+11,0.010675869,1.86E+11,8.879159006,3.37E-19
1,平安银行,2003,4,0.00495,16651133952,0.153530821,1.74E+11,0.014659582,1.59E+11,6.207170982,2.70E-10
1,平安银行,2004,1,0.00495,20023203840,0.173355713,2.23E+11,0.015584877,2.04E+11,5.478707767,2.14E-08
1,平安银行,2004,2,0.00495,18308888576,0.149748698,2.10E+11,0.013079731,1.92E+11,6.331606596,1.21E-10
1,平安银行,2004,3,0.00495,16045662208,0.110655844,2.10E+11,0.008472676,1.94E+11,8.496193133,9.80E-18
1,平安银行,2004,4,0.005625,13884557312,0.138601065,1.89E+11,0.01016707,1.76E+11,6.700834554,1.04E-11
1,平安银行,2005,1,0.005625,12074521600,0.16521807,1.88E+11,0.010619503,1.77E+11,5.555570212,1.38E-08
1,平安银行,2005,2,0.005625,12072853504,0.287310869,1.97E+11,0.01764394,1.86E+11,3.179883186,0.000736672
1,平安银行,2005,3,0.005625,11706478592,0.135858238,2.03E+11,0.007819528,1.93E+11,6.680753844,1.19E-11
1,平安银行,2005,4,0.005625,11372033024,0.15148662,2.27E+11,0.007597618,2.17E+11,5.896029854,1.86E-09
1,平安银行,2006,1,0.005625,12396624896,0.139868304,2.18E+11,0.007966247,2.06E+11,6.481818518,4.53E-11
1,平安银行,2006,2,0.005625,14816787456,0.263507247,2.50E+11,0.015590198,2.37E+11,3.454368921,0.000275791
1,平安银行,2006,3,0.0063,14224858112,0.16081357,2.53E+11,0.009056144,2.40E+11,5.559823875,1.35E-08
1,平安银行,2006,4,0.0063,21970278400,0.216892287,2.74E+11,0.017409602,2.53E+11,4.276706741,9.48E-06
1,平安银行,2007,1,0.006975,35081125888,0.28352356,3.12E+11,0.031888032,2.79E+11,3.331906456,0.000431266
1,平安银行,2007,2,0.00765,52690829312,0.314184397,3.56E+11,0.046562847,3.05E+11,3.041451103,0.001177204
1,平安银行,2007,3,0.009,73207332864,0.26490131,4.01E+11,0.048309523,3.31E+11,3.621923746,0.00014621
1,平安银行,2007,4,0.01035,83105939456,0.259023398,4.18E+11,0.05146689,3.39E+11,3.698645179,0.000108377
1,平安银行,2008,1,0.01035,77447184384,0.324928433,4.64E+11,0.054231717,3.91E+11,2.916614035,0.001769267
1,平安银行,2008,2,0.01035,57983442944,0.332537949,4.72E+11,0.040894991,4.18E+11,2.781987757,0.002701354
1,平安银行,2008,3,0.01035,45310894080,0.31094408,4.59E+11,0.03071922,4.18E+11,2.909616667,0.001809361
1,平安银行,2008,4,0.008055,30457063424,0.353987038,4.80E+11,0.022510721,4.53E+11,2.483113657,0.006511976
1,平安银行,2009,1,0.008055,41807310848,0.280741602,5.37E+11,0.021844125,5.00E+11,3.220180203,0.00064055
1,平安银行,2009,2,0.008055,56654311424,0.196843922,5.70E+11,0.01957699,5.17E+11,4.708138791,1.25E-06
1,平安银行,2009,3,0.008055,68462579712,0.247987837,5.93E+11,0.028619509,5.29E+11,3.782443773,7.76E-05
1,平安银行,2009,4,0.008055,74365820928,0.190783069,6.31E+11,0.022496296,5.61E+11,4.924441541,4.23E-07
1,平安银行,2010,1,0.008055,69880823808,0.177491933,6.55E+11,0.018923823,5.90E+11,5.252251616,7.51E-08
1,平安银行,2010,2,0.008055,59641954304,0.216646165,6.41E+11,0.020151337,5.86E+11,4.251809504,1.06E-05
1,平安银行,2010,3,0.008055,60593876992,0.071312822,6.91E+11,0.006251054,6.36E+11,12.8423464,4.75E-38
1,平安银行,2010,4,0.0065625,60618100736,0.163913891,7.40E+11,0.013428932,6.84E+11,5.650641467,7.99E-09
1,平安银行,2011,1,0.0075,55337209856,0.12088751,8.07E+11,0.008286269,7.58E+11,7.425913066,5.60E-14
