stockid,stockname,date,loan,provision_coverage,loanlossreserve_loan,netcapital,CAR,Core1_netcapital,Core1CAR,RWA,核心资本充足率(%)
000001.SZ,平安银行,20141231,102473400,2.009,0.0206,16220076,0.1175,11924100,0.0864,138043200,9.28
000001.SZ,平安银行,20140630,93822700,1.9818,0.0183,14965731.9,0.1197,10919400,0.0873,125027000,9.43
000001.SZ,平安银行,20131231,84728900,2.0106,0.0179,12921348.5,0.1104,10016100,0.0856,117041200,9.41
000001.SZ,平安银行,20130630,78648400,1.8354,0.0178,10612611.9,0.099,7809900,0.0729,107198100,8.05
000001.SZ,平安银行,20121231,72078004.8,1.8232,0.0174,10186600,0.1137,7689600,0.0859,89559270,8.59
000001.SZ,平安银行,20120630,68290553,2.3796,0.0173,9642500,0.114,7137500,0.0844,84583333,8.44
000001.SZ,平安银行,20111231,62064181.7,3.2066,0.017,9149100,0.1151,6723175.5,0.0846,79470160,8.46
000001.SZ,平安银行,20110630,44848382.6,3.7974,0.0167,5671600,0.1058,3753800,0.07,53606805.3,7.01
000001.SZ,平安银行,20101231,40739113.5,2.715,0.0158,4727200,0.1019,3291900,0.071,46369100,7.1
000001.SZ,平安银行,20100630,37362473.6,2.2409,0.0137,4310910.2,0.1041,2981609,0.072,41411241,7.2
000001.SZ,平安银行,20091231,35951741.3,1.6184,0.011,3190524,0.0888,1985428.2,0.0552,35929324,5.53
000001.SZ,平安银行,20090630,34234588.5,1.3307,0.0096,2910587,0.0862,1715287.9,0.0508,33765510,5.08
000001.SZ,平安银行,20081231,28374136.6,1.0514,0.0071,2395943,0.0858,1471015.3,0.0527,27924743.6,5.27
000001.SZ,平安银行,20080630,24637253.6,0.5375,0.0249,2263335.2,0.0853,1631830.2,0.0615,26533824,6.15
000001.SZ,平安银行,20071231,22181359.8,0.4828,0.0272,1269200,0.0577,1269200,0.0577,21996533.8,5.77
000001.SZ,平安银行,20070630,20741381.9,0.4844,0.0339,955600,0.0388,955600,0.0388,24628865.98,3.86
000001.SZ,平安银行,20061231,18218194.7,0.4763,0.0381,642000,0.0371,636808.6,0.0368,17304582,3.69
000001.SZ,平安银行,20060630,17593948.07,0.4544,0.0379,565250,0.0358,565250,0.0358,15789106.15,
000001.SZ,平安银行,20051231,15610302.4,0.4277,0.0399,488500,0.0371,488000,0.037,13189189,3.7
000001.SZ,平安银行,20050630,13533933.53,0.4148,0.0445,411250,0.0314,411250,0.0314,13097133.76,3.15
000001.SZ,平安银行,20041231,12619546.32,0.3549,0.0405,334000,0.0232,331000,0.023,14391304,2.32
000001.SZ,平安银行,20040630,14141306.2,0.4007,0.0354,613550.12,0.045075526,613550.12,0.045075526,13611602,
000001.SZ,平安银行,20031231,11011950.54,0.3598,0.0379,893100.24,0.0696,308931,0.0324,12831900,3.24
000001.SZ,平安银行,20030630,8878460.28,0.3694,0.0407,872650,0.0862,319904.1763,0.0316,10123549.88,
000001.SZ,平安银行,20021231,8411471.78,0.3317,0.0385,852199.76,0.0949,350219.0795,0.039,8979976.396,
000001.SZ,平安银行,20020630,7023000,0.2857,0.0385,831749.52,0.0928,285017.6157,0.0318,8962818.103,
000001.SZ,平安银行,20011231,5346508.36,0.4525,0.0474,811299.28,0.1057,237172.6372,0.0309,7675489.877,
000001.SZ,平安银行,20010630,5021236,0.2487,0.0324,790849.04,0.1374,165191.9028,0.0287,5755815.429,
000001.SZ,平安银行,20001231,3821116.14,0.2476,0.0395,770398.8,0.1756,144778.8178,0.033,4387236.902,
000001.SZ,平安银行,20000630,2784900,0.246,0.0161,749948.56,0.1349,229042.8515,0.0412,5559292.513,
000001.SZ,平安银行,19991231,2655300,0.2415,0.0132,729498.32,0.1417,201294.173,0.0391,5148188.567,
002142.SZ,宁波银行,20141231,,,,,,,,3399454.6,10.32
002142.SZ,宁波银行,20140930,20095134.9,2.4112,0.0215,709048.08,0.1396,163040.4253,0.0321,5079140.974,
002142.SZ,宁波银行,20140630,19091780.2,2.4118,0.0215,3917230.4,0.1251,2880969.9,0.092,31312792.9,9.39
002142.SZ,宁波银行,20131231,17118966.6,2.5488,0.0227,3273592.1,0.1206,2530560.1,0.0932,27137993.3,10.16
002142.SZ,宁波银行,20130630,15882041.6,2.5712,0.0213,3253751.2,0.1296,2448259.6,0.0975,25099042.5,10.38
002142.SZ,宁波银行,20121231,14561754.3,2.7539,0.021,2984488.9,0.1565,2191138.4,0.1149,19070216.6,11.49
002142.SZ,宁波银行,20120630,13627536.6,2.3842,0.0171,2514346.1,0.1471,2001563.1,0.1171,17092768,11.71
002142.SZ,宁波银行,20111231,12274511,2.4074,0.0163,2303148,0.1536,1824824.9,0.1217,14994453,12.17
002142.SZ,宁波银行,20110630,11374374.4,2.1011,0.0146,2146383.5,0.1462,1682459.297,0.1146,14681145.7,11.46
002142.SZ,宁波银行,20101231,10157440.7,1.9615,0.0136,2016388.3,0.162,1555855.2,0.125,12446841.4,12.51
002142.SZ,宁波银行,20100630,9360569,2.0569,0.0127,1240731.6,0.1081,1037463.9,0.0904,11477628,9.04
002142.SZ,宁波银行,20091231,8186384.9,1.7006,0.0134,1044189.2,0.1075,930148.9,0.0958,9713387.9,9.58
002142.SZ,宁波银行,20090630,6424869.68,1.6041,0.0136,969672.2,0.1284,873007,0.1156,7551964.2,11.56
002142.SZ,宁波银行,20081231,4915596.59,1.525,0.014,929530.7,0.1615,840284.5,0.146,5755608,14.6
002142.SZ,宁波银行,20080630,4387613.49,3.2344,0.0128,888493,0.1702,808941,0.155,5220287.9,15.5
002142.SZ,宁波银行,20071231,3650245.63,3.5994,0.0128,843582,0.21,762747,0.1899,4017057.1,18.99
002142.SZ,宁波银行,20070630,3361604.89,3.7032,0.013,395163,0.1102,333844.5994,0.0931,3585871.1,9.31
002142.SZ,宁波银行,20061231,2813489.9,4.0528,0.0132,361000,0.1148,304947,0.097,3144599.3,9.71
002142.SZ,宁波银行,20051231,1960913.3,2.7148,0.0165,244230,0.1081,208533.1131,0.0923,2259297,8.68
002142.SZ,宁波银行,20041231,1729544.4,2.0069,0.0193,244191.2,0.1081,203078.5262,0.0899,2258938,8.38
600000.SH,浦发银行,20141231,202838000,2.4909,0.0265,34312008.1,0.1196,24690500,0.0861,286889700,8.66
600000.SH,浦发银行,20140630,189834400,2.6784,0.0249,29939890.7,0.1159,22166600,0.0858,258325200,8.78
600000.SH,浦发银行,20131231,176749400,3.1965,0.0236,26499500,0.1097,20721800,0.0858,241459300,8.64
600000.SH,浦发银行,20130630,167828600,3.4786,0.0233,24920600,0.112746528,19030862,0.0861,221032083,
600000.SH,浦发银行,20121231,154455300,3.9985,0.0231,23341700,0.1245,16807200,0.0897,187423000,8.97
600000.SH,浦发银行,20120630,145243687,4.1403,0.0219,21218500,0.1221,15463500,0.089,173779688.8,8.9
600000.SH,浦发银行,20111231,133143604.4,4.996,0.0219,19976430,0.127,14480800,0.092,157330790,9.2
600000.SH,浦发银行,20110630,123740664.5,4.5285,0.0192,16411100,0.115,13065500,0.0916,142705217,9.16
600000.SH,浦发银行,20101231,114648930.1,3.8056,0.0195,15384600,0.1203,11982300,0.0937,127938820,9.37
600000.SH,浦发银行,20100630,105060960.3,3.0226,0.0186,10760500,0.1024,7366318.9,0.0701,105083008,7.01
600000.SH,浦发银行,20091231,92885475,2.4593,0.0198,9758000,0.1034,6511564.5,0.069,94370500,6.91
600000.SH,浦发银行,20090630,93871837.2,2.1603,0.0195,7884700,0.0811,4549400,0.0468,97221948,4.68
600000.SH,浦发银行,20081231,69756467,1.9249,0.0234,6821300,0.0907,3781660,0.0503,75182100,5.03
600000.SH,浦发银行,20080630,62167169.8,2.1508,0.0263,5533500,0.0866,3161900,0.0495,63897229,4.95
600000.SH,浦发银行,20071231,55098837.8,1.9108,0.0278,5037400,0.0915,2758183,0.0501,55053552,5.02
600000.SH,浦发银行,20070630,52427208.8,1.5968,0.0274,4286100,0.0846,2546500,0.0503,50663121,5.03
600000.SH,浦发银行,20061231,46089300.2,1.5146,0.0277,3995900,0.0927,2344300,0.0544,43105717,5.44
600000.SH,浦发银行,20060630,43081679.9,1.5778,0.0287,3314700,0.0801,1684248,0.0407,41382022.5,4.07
600000.SH,浦发银行,20051231,37722293.7,1.4216,0.028,2843500,0.0804,1459600,0.0413,35366915.4,4.13
600000.SH,浦发银行,20050630,33995015.6,1.4326,0.0308,2685600,0.0824,1362000,0.0418,32592233,4.18
600000.SH,浦发银行,20041231,31090514,1.171,0.0287,2527700,0.0803,1268571.731,0.0403,31478206.72,
600000.SH,浦发银行,20040630,28086427.8,1.2142,0.0278,2369800,0.08335,1232523.455,0.04335,28431913.62,
600000.SH,浦发银行,20031231,25511133.9,0.9712,0.0246,2211900,0.0864,1187872.222,0.0464,25600694.44,
600000.SH,浦发银行,20030630,23060799,0.7824,0.0247,2054000,0.083,1064120.482,0.043,24746987.95,
600000.SH,浦发银行,20021231,17437747.7,0.6401,0.0284,1896100,0.0854,1007996.956,0.0454,22202576.11,
600000.SH,浦发银行,20020630,13238202.6,0.6233,0.0324,1738200,0.0905,969934.8066,0.0505,19206629.83,
600000.SH,浦发银行,20011231,9715146.9,0.6025,0.0435,1580300,0.1127,879190.8607,0.0627,14022182.79,
600000.SH,浦发银行,20010630,8570719.9,0.5898,0.0389,1422400,0.1271,862840.598,0.0771,11191188.04,
600000.SH,浦发银行,20001231,6989728.8,0.5428,0.0455,1264500,0.135,702500,0.075,9366666.667,
600000.SH,浦发银行,20000630,6185000,0.5196,0.017,1106600,0.1282,675008.7363,0.0782,8631825.273,
