stockname,date,total_asset,total_liability,asset_interbank,liability_interbank
平安银行,20150630,257050800,241962800,13241100,59297800
平安银行,20150331,230477500,216807100,11392800,43131200
平安银行,20141231,218645900,205551000,11281000,39900200
平安银行,20140930,214435800,201762200,14860200,38577100
平安银行,20140630,213647500,201553500,14027200,41107800
平安银行,20140331,209710200,197980200,13311300,52005500
平安银行,20131231,189174100,177966000,9915500,47342200
平安银行,20130930,185561900,176070600,8368200,41676800
平安银行,20130630,182699800,173545600,9594100,42061900
平安银行,20130331,181124900,172249000,12673300,54617600
平安银行,20121231,160653676,152173798.5,15972111.3,39329092.7
平安银行,20120930,147753074.4,139580485.9,8776138.8,32992741.2
平安银行,20120630,149062285.1,141080024.1,13330685.9,33092344.5
平安银行,20120331,136800506.5,128904764.2,10434036.8,26326002.9
平安银行,20111231,125817694.4,118279636,4833090.9,18068912.6
平安银行,20110930,120721249.9,113552623.5,3510604.5,17306945.3
平安银行,20110630,85205702.5,81390463,2793036.4,12612631
平安银行,20110331,80756344.5,77161337.4,2232771.1,14519128.4
平安银行,20101231,72761006.8,69409719.2,1699971.7,8857023.4
平安银行,20100930,67506387.8,64291974.3,1767200.1,7470250.2
平安银行,20100630,62439817.9,59397707.1,1416363.4,5311798.6
平安银行,20100331,61992762.5,59781779.9,1625868.6,9972211.9
平安银行,20091231,58781103.4,56734142.5,2095367.5,8170979.1
平安银行,20090930,55426468.4,53517624.9,2623084.4,7916479.1
平安银行,20090630,54122573.6,52323834.4,2881123.8,5695103.4
平安银行,20090331,52187939.8,50480726.9,4264749,5759026.9
平安银行,20081231,47444017.3,45803938.3,3073748.5,4344303.2
平安银行,20080930,44145439.8,42307973.5,1040545.7,4439767.5
平安银行,20080630,44182348.4,42488018.5,1560312.5,5372158.8
平安银行,20080331,40947392.3,39543253.9,879412,5303019.5
平安银行,20071231,35253936.1,33953329.8,665634.6,3502905.9
宁波银行,20150630,65731258.5,61920840.8,3058899.9,10607501.6
宁波银行,20150331,60848425.5,57253462.8,3875918.7,9282622.4
宁波银行,20141231,55411261.8,51994840.6,3331419.6,10070631.6
宁波银行,20140930,53792024.5,50518955.9,4196617.6,10679487.1
宁波银行,20140630,52422890.2,49500808.8,3631039.3,10207370.5
宁波银行,20140331,53174835.7,50439049.4,2912197.3,13270068.5
宁波银行,20131231,46777260.1,44225071.3,3951259.1,10300190.9
宁波银行,20130930,45244979,42742478,4291119.1,9035264.3
宁波银行,20130630,44394959.9,41928124.2,4283132,7543146.3
宁波银行,20130331,42161929.8,39824125.4,3134988.3,7854764.6
宁波银行,20121231,37353658.9,35141962.9,3989047,6674685.8
宁波银行,20120930,33891311.1,31750563,3035897.7,3701666.4
宁波银行,20120630,27764342,25727231.1,2668336.8,1953039.3
宁波银行,20120331,26555664.2,24583140.9,2574942.1,2897021
宁波银行,20111231,26049763.7,24178357,3993278,2809959.2
宁波银行,20110930,23327877.4,21543804.5,1796568.6,1861201.7
宁波银行,20110630,26244627.9,24550587,1952815.5,1334020.8
宁波银行,20110331,27137339,25467853,1208032.7,1783169
宁波银行,20101231,26327433.2,24739769.3,829615.6,1617343.4
宁波银行,20100930,23496845,22382598.1,847513.5,2035029.8
宁波银行,20100630,20976121.1,19922503.3,978303.1,2651374.7
宁波银行,20100331,18247626.3,17221902.8,417767.5,2665551.2
宁波银行,20091231,16335186.6,15360988.3,935531.9,2789932.8
宁波银行,20090930,14446698.14,13507824.85,815046.36,674461.44
宁波银行,20090630,12987830.94,12087017.77,1169476.72,253504.63
宁波银行,20090331,11885188.91,10971902.83,1271623.56,79039.68
宁波银行,20081231,10326319.06,9445818.71,732453.94,72706.59
宁波银行,20080930,10133298.08,9273206.36,369127.82,169958.45
宁波银行,20080630,8829899.87,8009365.92,335809.08,249894.81
宁波银行,20080331,8258209.32,7425893.91,431824.34,236591.22
宁波银行,20071231,7551077.11,6748845.4,239064.4,239101.77
浦发银行,20150630,460374000,431474400,18222100,92423300
浦发银行,20150331,425533300,396660900,14710800,79405300
浦发银行,20141231,419592400,393263900,16425600,82462900
浦发银行,20140930,395664200,372214300,17349200,72776500
浦发银行,20140630,393021700,370889800,16208300,65385800
浦发银行,20140331,374050000,352086300,17464000,74869500
浦发银行,20131231,368012500,347289800,26013000,78310000
浦发银行,20130930,359394300,339554200,17004400,67460800
浦发银行,20130630,346844200,327941600,19269200,64435800
浦发银行,20130331,340791700,321883900,25185100,69099000
浦发银行,20121231,314570700,296604800,39671300,57903000
浦发银行,20120930,314218460.7,297059200.5,46086640.5,58820062.6
浦发银行,20120630,303643242.2,287253709.8,46343138.5,55047043.8
