stockname,date,total_asset,total_liability,asset_in_system,liability_in_system,held_for_trading,available_for_sale,deriv_finasset,deriv_finliability
平安银行,20141231,218645900,205551000,29144600,42157000,2581100,149300,430000,266200
平安银行,20131231,189174100,177966000,37084700,50947100,1042100,46700,339700,291400
平安银行,20121231,160653676,152173798.5,34619390.9,43943869.5,423745.2,8989587.4,96665.5,95226.1
平安银行,20111231,125817694.4,118279636,8263479.6,21988649.7,260790.2,7838352.6,81057.7,73241.8
平安银行,20101231,72761006.8,69409719.2,11526315,10615890.6,0,3153418.3,37173.4,31180.5
平安银行,20091231,58781103.4,56734142.5,6187707.1,9544317.5,113204.8,3699840.9,9999.6,2154
平安银行,20081231,47444017.3,45803938.3,6547083.8,8235914.7,4144.1,4879971.6,29075.1,5859.8
平安银行,20071231,35253936.1,33953329.8,4042527.1,5149664.1,147762.5,1785089.2,29181.6,25517.3
宁波银行,20141231,55411261.8,51994840.6,5039319.7,12886144.8,887897.9,12010902.6,129314,130348.8
宁波银行,20131231,46777260.1,44225071.3,7905044.1,14014174.2,117890.8,9035545.7,719345.3,722883.9
宁波银行,20121231,37353658.9,35141962.9,7560257.5,12220535,178441.5,5720190.1,337527.4,335748.8
宁波银行,20111231,26049763.7,24178357,4328810.4,5116738.5,198019.4,2651820.5,168763,188333.3
宁波银行,20101231,26327433.2,24739769.3,9131770.3,8894545.3,35329.2,432476.3,224955.6,224600.4
宁波银行,20091231,16335186.6,15360988.3,1758249,3485190.2,62241,181475.9,102947.5,102834.7
宁波银行,20081231,10326319.06,9445818.71,1704299.73,1134816.25,157556.11,11377.58,22557.22,15227.2
宁波银行,20071231,7551077.11,6748845.4,664909.43,938089.13,0,59315.95,2834.57,2734.61
浦发银行,20141231,419592400,393263900,36044400,89286900,3284100,22220800,261200,330300
浦发银行,20131231,368012500,347289800,55608300,86265700,2862700,16059300,194600,385300
浦发银行,20121231,314570700,296604800,66380200,66357000,1844100,15074100,90700,194400
浦发银行,20111231,268469368.9,253515090.9,66080156.2,59389786.3,586684.1,14792913.1,54878.7,151502.9
浦发银行,20101231,219141077.4,206813092.3,49272532.19,36919743.44,0,10414263.16,103334.87,117208.28
浦发银行,20091231,162271796,155463051.5,22073395.94,21097474.42,0,8921480.34,60733.98,60550.45
浦发银行,20081231,130942544.2,126772364.3,24924494.79,25265607.24,0,5736514.93,228777.36,237820.5
浦发银行,20071231,91498034.6,88668247.8,10246575.63,6895295.38,381622.37,8878413.31,34757.45,53264.78
华夏银行,20141231,185162800,174952900,20491000,36718000,906600,6344800,62500,55600
华夏银行,20131231,167244700,158642800,38925700,37440800,869900,6513400,53100,54500
华夏银行,20121231,148886006.4,141413743.9,35795164.06,34849194.5,975702.63,5916552.47,17091.54,15943.22
华夏银行,20111231,124414118.2,118021105.9,32946572.72,24093042.34,400459.09,2848836.31,20184.1,19212.27
华夏银行,20101231,104023044.2,100473456.2,28409972.07,19443021.97,10644.63,1485948.2,2605.36,142.11
华夏银行,20091231,84545643.24,81522224.72,24231538.15,19613577.06,76572.41,1164073.85,2421.57,783.68
