stockname,date,ind_deposit,corp_deposit,ind_loan,corp_loan
平安银行,20141231,29770688.75,110823846.7,38499500,62732600
平安银行,20131231,25181690.13,89973468.3,32565000,50930100
平安银行,20121231,17463211.74,85598318.69,22583452,48453516.5
平安银行,20111231,14687286.3,72964877.85,18993621,41302270.5
平安银行,20101231,9286365.425,47460453.08,12009141.9,26865315.6
平安银行,20091231,7550110.354,38263601.03,9763814.2,21659374.3
平安银行,20081231,5714978.196,29611399.2,7390618.5,16761736
平安银行,20071231,4913597.141,26585824.06,6354271.3,15049088.4
宁波银行,20141231,7420620.8,23232562.1,7273534.9,12780439.8
宁波银行,20131231,6139944.7,19387888,5323718.5,11476974.1
宁波银行,20121231,4671879.9,16085847.1,3562112.4,10369285.3
宁波银行,20111231,3414320.3,14259345.3,2977198.4,9022945.4
宁波银行,20101231,3025306.735,11659894.54,2637988.7,7378080.1
宁波银行,20091231,2372554.216,9377977.599,2068805.5,5934142
宁波银行,20081231,1495194.371,5184699.915,1303770.56,3280744.19
宁波银行,20071231,1405461.497,3674057.708,1225525.83,2324848.82
浦发银行,20141231,47422600,182040500,46478200,151976500
浦发银行,20131231,42708700,163867800,39403800,133976600
浦发银行,20121231,39146500,138557600,30918400,118024500
浦发银行,20111231,32291807.6,123068183.6,26130489.7,104613663.2
浦发银行,20101231,27612202.1,119624056.2,21786855.7,90673217.5
浦发银行,20091231,21673709,94337476,15774778,73083981.1
浦发银行,20081231,15148487,65331028.4,10782114.4,56369188.7
浦发银行,20071231,10975237.72,53060585.27,9026895.1,44070397.9
华夏银行,20141231,22459300,82712000,17474000,75686600
华夏银行,20131231,19672300,77094500,14275400,67514700
华夏银行,20121231,16138557.6,69186409.9,10066677.2,61689622.2
华夏银行,20111231,14260951.6,61212978,7498753.73,53273821.95
华夏银行,20101231,11389638.5,54023934.9,6010876.84,46544921.44
华夏银行,20091231,8353451.9,39907516.4,4732871.96,37541246.48
华夏银行,20081231,6361875.4,32411831.7,3890542.05,29593084.28
华夏银行,20071231,6453402.903,28101259.37,3946514.79,25657387.85
民生银行,20141231,53917300,188408100,65468100,113105500
民生银行,20131231,51094400,162950300,60552900,93537000
民生银行,20121231,39377400,152856200,46557600,90327000
民生银行,20111231,28862200,135299100,36410300,82715800
民生银行,20101231,23121500,118411100,27916200,76647800
民生银行,20091231,19410400,93256800,16388000,68387800
民生银行,20081231,13626800,62565200,10857100,48585800
民生银行,20071231,12483159.16,54192371.91,9945908.6,42083774.1
招商银行,20141231,109302700,221141100,97132700,146758500
招商银行,20131231,96832400,180695200,80024900,132581000
招商银行,20121231,92550300,160694100,68678400,115283700
招商银行,20111231,80329000,141677000,57120800,99404100
招商银行,20101231,70359900,119357900,49598800,87051500
招商银行,20091231,63902100,96912500,38187700,70139600
招商银行,20081231,52492700,72572100,23263500,54596100
招商银行,20071231,32653300,61700100,17502600,44586500
南京银行,20141231,5445839.1,31355213,3220688.8,13812932.4
南京银行,20131231,4586248.5,21381080.5,2512895.5,11816026.9
南京银行,20121231,3601159.1,17735565.1,1959705.7,10167650.7
南京银行,20111231,2335465.5,14282799,1683324.5,8206552
南京银行,20101231,1854943.1,12107556.7,1247824.4,7021890
南京银行,20091231,1198786.797,8279580.117,803453.6,5706919.8
南京银行,20081231,693432.0533,4385100,464753.6,3156193.8
南京银行,20071231,763642.4933,3890600,511810.2,2374712.3
兴业银行,20141231,36808900,163406400,38595000,117970800
兴业银行,20131231,35336300,153275800,35364400,98880800
兴业银行,20121231,29914500,126962200,29993600,91218700
兴业银行,20111231,22473000,94536000,26064100,70394800
兴业银行,20101231,18582600,86211300,22500700,61960400
兴业银行,20091231,14690750.8,68242212.7,16901381.6,50588209.3
兴业银行,20081231,8889367.2,46888510.2,12893685.5,31291996.7
兴业银行,20071231,9127800.887,39033844.2,13239524.4,26050026.3
北京银行,20141231,18512900,66838100,15311500,51125900
北京银行,20131231,16681401.2,61501167,12030862.4,45826278.7
北京银行,20121231,13970712.2,53330817.3,8997447.5,39652147.4
北京银行,20111231,11521568.1,46655751.9,6667083.1,33076675.5
北京银行,20101231,9988294,43516293.9,4446604.4,28841055.9
北京银行,20091231,7442222.1,36091597.2,2596325.3,23913006.3
北京银行,20081231,5412129.5,25511802.4,1752471.1,16739816.6
北京银行,20071231,4570436.681,21709400,1479927.3,13730465.1
农业银行,20141231,742231800,443728300,240098400,551685400
农业银行,20131231,692364700,431140700,209563200,503108800
农业银行,20121231,642187600,398048300,170796200,461273100
农业银行,20111231,562607700,364356200,143052000,398957000
农业银行,20101231,506519500,353297500,114447300,365968900
农业银行,20091231,436541200,291236400,78945600,299479400
农业银行,20081231,373690500,217294800,46450500,237755600
农业银行,20071231,298143700,212069700,49119700,277734600
交通银行,20141231,135790200,266627100,86835700,248883000
交通银行,20131231,135095600,280176900,75131000,245461500
交通银行,20121231,119966300,252376800,60152200,228100800
交通银行,20111231,103060500,224831700,50930700,200224600
交通银行,20101231,90630100,195493600,41792500,176192800
交通银行,20091231,80619000,155884200,30936500,142680400
交通银行,20081231,64476000,101936900,20487900,105379900
交通银行,20071231,52876300,88034300,17262400,90035500
工商银行,20141231,718860700,803713300,306346500,761259200
工商银行,20131231,689583900,750349700,272760100,704651500
工商银行,20121231,655428700,690824500,228710300,633257800
工商银行,20111231,584385900,592874900,201492600,566651100
工商银行,20101231,524365700,547130900,165571900,501728100
工商银行,20091231,466043200,478849000,120685000,395778600
工商银行,20081231,401024800,393896700,82934200,323210200
工商银行,20071231,324407400,340268300,75211300,291499300
光大银行,20141231,34515400,136785700,45838500,82013900
光大银行,20131231,31064600,120321700,39137200,76147400
光大银行,20121231,31401300,111292800,31145400,69909000
光大银行,20111231,23551000,98976800,23345380.6,64195005.2
光大银行,20101231,16641500,89676500,19380681.3,57123227.1
光大银行,20091231,13196463.2,57063338.8,14183500,46145427.1
光大银行,20081231,9204000,43186500,9444600,34101300
光大银行,20071231,6401300,40885000,7170900,33135300
建设银行,20141231,587701400,661667100,293576200,633755900
建设银行,20131231,551464700,644325500,250483800,594220500
建设银行,20121231,507793000,607372600,205109400,526952100
建设银行,20111231,441939800,541501900,168385500,444616800
建设银行,20101231,402281300,494815200,139095700,413499500
建设银行,20091231,358472700,430350900,108845900,335131500
建设银行,20081231,296774700,333704600,60314700,268978400
建设银行,20071231,232713000,294530500,72380500,234475700
中国银行,20141231,455786500,567698500,243767900,582012800
中国银行,20131231,435367500,529126400,216845200,531089400
中国银行,20121231,400769000,472295800,188429700,481374900
中国银行,20111231,359547400,447283600,161750900,462884600
中国银行,20101231,345330600,398473100,141623800,414377500
中国银行,20091231,317988500,307352300,114748200,353468500
中国银行,20081231,272351100,216214700,66305800,235389600
中国银行,20071231,235572100,186971700,73258400,211797700
中信银行,20141231,51414900,233542500,55454700,156531800
中信银行,20131231,51474100,213693700,44055300,143585300
中信银行,20121231,41243100,184271000,33464700,125326000
中信银行,20111231,34596400,162208700,26819700,111638900
中信银行,20101231,30075400,143006200,21627400,99227200
中信银行,20091231,24407500,109785200,14824000,82263500
中信银行,20081231,17213600,77369900,8776300,53362200
中信银行,20071231,14720600,64000500,7608900,46552000
