stockid,stockname,date,close,stockvalue
000001.SZ,平安银行,19910403,0.6896,2376508379
000001.SZ,平安银行,19910404,0.6862,2364868338
000001.SZ,平安银行,19910405,0.6829,2353228297
000001.SZ,平安银行,19910408,0.6761,2329948215
000001.SZ,平安银行,19910409,0.6727,2318308174
000001.SZ,平安银行,19910410,0.6694,2306668133
000001.SZ,平安银行,19910411,0.6694,2306668133
000001.SZ,平安银行,19910412,0.6626,2283388051
000001.SZ,平安银行,19910416,0.6527,2249437931
000001.SZ,平安银行,19910417,0.6495,2238282892
000001.SZ,平安银行,19910418,0.6463,2227127852
000001.SZ,平安银行,19910419,0.643,2215972813
000001.SZ,平安银行,19910422,0.6398,2204817774
000001.SZ,平安银行,19910423,0.6333,2182507695
000001.SZ,平安银行,19910424,0.6302,2171837657
000001.SZ,平安银行,19910425,0.6271,2161167620
000001.SZ,平安银行,19910426,0.624,2150497582
000001.SZ,平安银行,19910429,0.6178,2129157507
000001.SZ,平安银行,19910430,0.6147,2118487469
000001.SZ,平安银行,19910502,0.8621,2107817432
000001.SZ,平安银行,19910503,0.8577,2097147394
000001.SZ,平安银行,19910506,0.8534,2086477356
000001.SZ,平安银行,19910507,0.8449,2065622283
000001.SZ,平安银行,19910508,0.8407,2055437247
000001.SZ,平安银行,19910509,0.8365,2045252211
000001.SZ,平安银行,19910510,0.8324,2035067175
000001.SZ,平安银行,19910513,0.824,2014697103
000001.SZ,平安银行,19910514,0.8199,2004512067
000001.SZ,平安银行,19910515,0.8157,1994327032
000001.SZ,平安银行,19910516,0.8115,1984141996
000001.SZ,平安银行,19910517,0.8076,1974441961
000001.SZ,平安银行,19910520,0.7996,1955041893
000001.SZ,平安银行,19910521,0.7957,1945341859
000001.SZ,平安银行,19910522,0.7917,1935641825
000001.SZ,平安银行,19910523,0.7877,1925941790
000001.SZ,平安银行,19910524,0.7838,1916241756
000001.SZ,平安银行,19910527,0.7758,1896841688
000001.SZ,平安银行,19910528,0.7719,1887141654
000001.SZ,平安银行,19910529,0.7681,1877926621
000001.SZ,平安银行,19910530,0.7643,1868711589
000001.SZ,平安银行,19910531,0.7605,1859496556
000001.SZ,平安银行,19910603,0.753,1841066491
000001.SZ,平安银行,19910604,0.7492,1831851459
000001.SZ,平安银行,19910605,0.7492,1831851459
000001.SZ,平安银行,19910606,0.7417,1813421394
000001.SZ,平安银行,19910607,0.7379,1804206361
000001.SZ,平安银行,19910610,0.7304,1785776296
000001.SZ,平安银行,19910611,0.7268,1777046265
000001.SZ,平安银行,19910612,0.7233,1768316235
000001.SZ,平安银行,19910613,0.7197,1759586204
000001.SZ,平安银行,19910614,0.7161,1750856173
000001.SZ,平安银行,19910617,0.709,1733396112
000001.SZ,平安银行,19910618,0.7054,1724666081
000001.SZ,平安银行,19910619,0.7018,1715936050
000001.SZ,平安银行,19910620,0.6983,1707206019
000001.SZ,平安银行,19910621,0.6947,1698475988
000001.SZ,平安银行,19910624,0.6877,1681500929
000001.SZ,平安银行,19910625,0.6844,1673255900
000001.SZ,平安银行,19910626,0.681,1665010870
000001.SZ,平安银行,19910627,0.6776,1656765841
000001.SZ,平安银行,19910628,0.6743,1648520812
000001.SZ,平安银行,19910701,0.6675,1632030754
000001.SZ,平安银行,19910702,0.6641,1623785725
000001.SZ,平安银行,19910703,0.6641,1623785725
000001.SZ,平安银行,19910704,0.6574,1607295667
000001.SZ,平安银行,19910705,0.654,1599050638
000001.SZ,平安银行,19910708,0.6477,1583530583
000001.SZ,平安银行,19910709,0.6477,1583530583
000001.SZ,平安银行,19910710,0.6413,1568010528
000001.SZ,平安银行,19910711,0.6382,1560250501
000001.SZ,平安银行,19910712,0.6382,1560250501
000001.SZ,平安银行,19910715,0.6286,1536970419
000001.SZ,平安银行,19910716,0.6286,1536970419
000001.SZ,平安银行,19910717,0.6286,1536970419
000001.SZ,平安银行,19910718,0.6286,1536970419
000001.SZ,平安银行,19910719,0.6159,1505930310
000001.SZ,平安银行,19910722,0.6128,1498170282
000001.SZ,平安银行,19910723,0.6128,1498170282
000001.SZ,平安银行,19910724,0.6038,1476345205
000001.SZ,平安银行,19910725,0.6038,1476345205
000001.SZ,平安银行,19910726,0.5979,1461795154
000001.SZ,平安银行,19910729,0.5919,1447245103
000001.SZ,平安银行,19910730,0.589,1439970077
000001.SZ,平安银行,19910731,0.586,1432695051
000001.SZ,平安银行,19910801,0.583,1425420026
000001.SZ,平安银行,19910802,0.58,1418145000
000001.SZ,平安银行,19910805,0.58,1418145000
000001.SZ,平安银行,19910806,0.58,1418145000
000001.SZ,平安银行,19910807,0.58,1418145000
000001.SZ,平安银行,19910808,0.58,1418145000
000001.SZ,平安银行,19910809,0.58,1418145000
000001.SZ,平安银行,19910812,0.58,1418145000
000001.SZ,平安银行,19910813,0.58,1418145000
000001.SZ,平安银行,19910814,0.58,1418145000
000001.SZ,平安银行,19910815,0.58,1418145000
000001.SZ,平安银行,19910816,0.58,1418145000
000001.SZ,平安银行,19910819,0.5984,790552787.3
000001.SZ,平安银行,19910820,0.5782,763877693.3
000001.SZ,平安银行,19910821,0.5709,754177659.1
000001.SZ,平安银行,19910822,0.547,722652547.9
000001.SZ,平安银行,19910823,0.5507,727502565
000001.SZ,平安银行,19910826,0.5653,746902633.4
000001.SZ,平安银行,19910827,0.558,737202599.2
000001.SZ,平安银行,19910828,0.5543,732352582.1
000001.SZ,平安银行,19910829,0.5543,732352582.1
000001.SZ,平安银行,19910830,0.5525,729927573.6
000001.SZ,平安银行,19910902,0.5507,727502565
000001.SZ,平安银行,19910903,0.5507,727502565
000001.SZ,平安银行,19910904,0.5452,720227539.4
000001.SZ,平安银行,19910905,0.536,708102496.6
000001.SZ,平安银行,19910906,0.5029,664452342.7
000001.SZ,平安银行,19910909,0.5103,674152376.9
000001.SZ,平安银行,19910910,0.5121,676577385.5
000001.SZ,平安银行,19910911,0.5286,698402462.4
000001.SZ,平安银行,19910912,0.5305,700827471
000001.SZ,平安银行,19910913,0.5323,703252479.5
000001.SZ,平安银行,19910916,0.525,693552445.3
000001.SZ,平安银行,19910917,0.5231,691127436.8
000001.SZ,平安银行,19910918,0.5213,688702428.2
000001.SZ,平安银行,19910919,0.5195,686277419.7
000001.SZ,平安银行,19910920,0.5176,683852411.1
000001.SZ,平安银行,19910923,0.5176,683852411.1
000001.SZ,平安银行,19910924,0.5176,683852411.1
000001.SZ,平安银行,19910925,0.5213,688702428.2
000001.SZ,平安银行,19910926,0.525,693552445.3
000001.SZ,平安银行,19910927,0.5323,703252479.5
000001.SZ,平安银行,19910930,0.536,708102496.6
000001.SZ,平安银行,19911003,0.5782,763877693.3
000001.SZ,平安银行,19911004,0.5727,756602667.6
000001.SZ,平安银行,19911007,0.6333,836627949.8
000001.SZ,平安银行,19911008,0.7856,1037903659
000001.SZ,平安银行,19911009,0.9526,1258579437
000001.SZ,平安银行,19911010,0.8076,1067003762
000001.SZ,平安银行,19911011,0.8811,1164004104
000001.SZ,平安银行,19911014,0.9086,1200379232
000001.SZ,平安银行,19911015,0.8554,1130053984
000001.SZ,平安银行,19911016,0.8443,1115503933
000001.SZ,平安银行,19911017,0.8921,1178554155
000001.SZ,平安银行,19911018,0.8866,1171279130
000001.SZ,平安银行,19911021,0.8774,1159154087
000001.SZ,平安银行,19911022,0.8627,1139754019
000001.SZ,平安银行,19911023,0.8756,1156729078
000001.SZ,平安银行,19911024,0.8811,1164004104
000001.SZ,平安银行,19911025,0.8811,1164004104
000001.SZ,平安银行,19911028,0.9141,1207654258
000001.SZ,平安银行,19911029,0.9416,1244029386
000001.SZ,平安银行,19911030,0.9453,1248879403
000001.SZ,平安银行,19911031,0.9875,1304654600
000001.SZ,平安银行,19911101,1.0554,1394379916
000001.SZ,平安银行,19911104,1.1582,1530180395
000001.SZ,平安银行,19911105,1.1527,1522905369
000001.SZ,平安银行,19911106,1.0977,1450155113
000001.SZ,平安银行,19911107,1.1087,1464705164
000001.SZ,平安银行,19911108,1.1197,1479255216
000001.SZ,平安银行,19911111,1.1197,1566555523
000001.SZ,平安银行,19911112,1.2427,1738731130
000001.SZ,平安银行,19911113,1.2635,1767831233
000001.SZ,平安银行,19911114,1.267,1772681250
000001.SZ,平安银行,19911115,1.2375,1731456105
000001.SZ,平安银行,19911118,1.06,1433180053
000001.SZ,平安银行,19911119,1.1658,1576255558
000001.SZ,平安银行,19911120,1.2124,1639305780
000001.SZ,平安银行,19911121,1.1443,1547155455
000001.SZ,平安银行,19911122,1.1515,1556855489
000001.SZ,平安银行,19911125,1.0331,1396804925
000001.SZ,平安银行,19911126,1.0331,1396804925
000001.SZ,平安银行,19911127,1.0761,1455005130
000001.SZ,平安银行,19911128,1.042,1408929968
000001.SZ,平安银行,19911129,0.999,1350729762
000001.SZ,平安银行,19911202,0.9703,1311929626
000001.SZ,平安银行,19911203,1.0151,1372554839
000001.SZ,平安银行,19911204,1.0044,1358004788
000001.SZ,平安银行,19911205,0.9685,1309504617
000001.SZ,平安银行,19911206,0.9864,1333754703
000001.SZ,平安银行,19911209,1.0062,1360429797
000001.SZ,平安银行,19911210,1.0223,1382254874
000001.SZ,平安银行,19911211,1.0169,1374979848
000001.SZ,平安银行,19911212,1.0008,1353154771
000001.SZ,平安银行,19911213,0.9775,1321629660
000001.SZ,平安银行,19911216,0.99,1338604720
000001.SZ,平安银行,19911217,0.9882,1336179711
000001.SZ,平安银行,19911218,0.9918,1341029728
000001.SZ,平安银行,19911219,0.9918,1341029728
000001.SZ,平安银行,19911220,0.9864,1333754703
000001.SZ,平安银行,19911223,0.9972,1348304754
000001.SZ,平安银行,19911224,1.042,1408929968
000001.SZ,平安银行,19911225,1.051,1421055010
000001.SZ,平安银行,19911226,1.0044,1358004788
000001.SZ,平安银行,19911227,1.0205,1379829865
000001.SZ,平安银行,19911230,1.0331,1396804925
000001.SZ,平安银行,19911231,1.0528,2634210722
000001.SZ,平安银行,19920102,1.0456,2616260393
000001.SZ,平安银行,19920103,1.0438,2611772811
000001.SZ,平安银行,19920106,1.0654,2665623797
000001.SZ,平安银行,19920107,1.0725,2683574126
000001.SZ,平安银行,19920108,1.0636,2661136215
000001.SZ,平安银行,19920109,1.0654,2665623797
000001.SZ,平安银行,19920110,1.0689,2674598961
000001.SZ,平安银行,19920113,1.0636,2661136215
000001.SZ,平安银行,19920114,1.0474,2620747976
000001.SZ,平安银行,19920115,1.0438,2611772811
000001.SZ,平安银行,19920116,1.0367,2593822483
000001.SZ,平安银行,19920117,1.0331,2584847318
000001.SZ,平安银行,19920120,1.0564,2643185886
000001.SZ,平安银行,19920121,1.051,2629723140
000001.SZ,平安银行,19920122,1.0385,2598310065
000001.SZ,平安银行,19920123,1.0474,2620747976
000001.SZ,平安银行,19920124,1.0618,2656648633
000001.SZ,平安银行,19920127,1.0546,2638698304
000001.SZ,平安银行,19920128,1.0582,2647673469
000001.SZ,平安银行,19920129,1.0761,2692549290
000001.SZ,平安银行,19920130,1.0833,2710499619
000001.SZ,平安银行,19920131,1.1174,2795763679
000001.SZ,平安银行,19920210,1.0915,2836151919
