stockid,stockname,date,BV
000001.SZ,平安银行,20140930,12673600
000001.SZ,平安银行,20140630,12094000
000001.SZ,平安银行,20140331,11730000
000001.SZ,平安银行,20131231,11208100
000001.SZ,平安银行,20130930,9491300
000001.SZ,平安银行,20130630,9154200
000001.SZ,平安银行,20130331,8875900
000001.SZ,平安银行,20121231,8479877.5
000001.SZ,平安银行,20120930,8172588.5
000001.SZ,平安银行,20120630,7982261
000001.SZ,平安银行,20120331,7895742.3
000001.SZ,平安银行,20111231,7538058.4
000001.SZ,平安银行,20110930,7168626.4
000001.SZ,平安银行,20110630,3815239.5
000001.SZ,平安银行,20110331,3595007.1
000001.SZ,平安银行,20101231,3351287.6
000001.SZ,平安银行,20100930,3214413.5
000001.SZ,平安银行,20100630,3042110.8
000001.SZ,平安银行,20100331,2210982.6
000001.SZ,平安银行,20091231,2046960.9
000001.SZ,平安银行,20090930,1908843.5
000001.SZ,平安银行,20090630,1798739.2
000001.SZ,平安银行,20090331,1707212.9
000001.SZ,平安银行,20081231,1640079
000001.SZ,平安银行,20080930,1837466.3
000001.SZ,平安银行,20080630,1694329.9
000001.SZ,平安银行,20080331,1404138.4
000001.SZ,平安银行,20071231,1300606.3
000001.SZ,平安银行,20070930,836355.3
000001.SZ,平安银行,20070630,769847.8
000001.SZ,平安银行,20070331,710609.4
000001.SZ,平安银行,20061231,647446.32
000001.SZ,平安银行,20060930,605395.45
000001.SZ,平安银行,20060630,559204.03
000001.SZ,平安银行,20060331,526413.3
000001.SZ,平安银行,20051231,505441.06
000001.SZ,平安银行,20050930,501496.61
000001.SZ,平安银行,20050630,489214.91
000001.SZ,平安银行,20050331,483878.87
000001.SZ,平安银行,20041231,468466.23
000001.SZ,平安银行,20040930,437212.16
000001.SZ,平安银行,20040630,425080.43
000001.SZ,平安银行,20040331,417870.88
000001.SZ,平安银行,20031231,439488.9
000001.SZ,平安银行,20030930,398188.95
000001.SZ,平安银行,20030630,433023.59
000001.SZ,平安银行,20030331,392123.21
000001.SZ,平安银行,20021231,376802.14
000001.SZ,平安银行,20020930,405819.36
000001.SZ,平安银行,20020630,394185.6
000001.SZ,平安银行,20020331,381191.61
000001.SZ,平安银行,20011231,362766.88
000001.SZ,平安银行,20010630,496182.41
000001.SZ,平安银行,20001231,473888.37
000001.SZ,平安银行,20000630,307851.26
000001.SZ,平安银行,19991231,290083.07
000001.SZ,平安银行,19990630,391754.93
000001.SZ,平安银行,19981231,367636.32
000001.SZ,平安银行,19980630,377697.4
000001.SZ,平安银行,19971231,340068.17
000001.SZ,平安银行,19970630,298246.74
000001.SZ,平安银行,19961231,253968.69
000001.SZ,平安银行,19960630,232489.48
000001.SZ,平安银行,19951231,196053.89
000001.SZ,平安银行,19950630,186832.63
000001.SZ,平安银行,19941231,165983.3
000001.SZ,平安银行,19940630,151291.35
000001.SZ,平安银行,19931231,120880.48
000001.SZ,平安银行,19921231,54566.22
000001.SZ,平安银行,19911231,57796
000001.SZ,平安银行,19901231,23651
000001.SZ,平安银行,19891231,14406
002142.SZ,宁波银行,20140930,3273068.6
002142.SZ,宁波银行,20140630,2922081.4
002142.SZ,宁波银行,20140331,2735786.3
002142.SZ,宁波银行,20131231,2552188.8
002142.SZ,宁波银行,20130930,2502501
002142.SZ,宁波银行,20130630,2466835.7
002142.SZ,宁波银行,20130331,2337804.4
002142.SZ,宁波银行,20121231,2211696
002142.SZ,宁波银行,20120930,2140748.1
002142.SZ,宁波银行,20120630,2037110.9
002142.SZ,宁波银行,20120331,1972523.3
002142.SZ,宁波银行,20111231,1871406.7
002142.SZ,宁波银行,20110930,1784072.9
002142.SZ,宁波银行,20110630,1694040.9
002142.SZ,宁波银行,20110331,1669486
002142.SZ,宁波银行,20101231,1587663.9
002142.SZ,宁波银行,20100930,1114246.9
002142.SZ,宁波银行,20100630,1053617.8
002142.SZ,宁波银行,20100331,1025723.5
002142.SZ,宁波银行,20091231,974198.3
002142.SZ,宁波银行,20090930,938873.29
002142.SZ,宁波银行,20090630,900813.17
002142.SZ,宁波银行,20090331,913286.08
002142.SZ,宁波银行,20081231,880500.35
002142.SZ,宁波银行,20080930,860091.72
002142.SZ,宁波银行,20080630,820533.95
002142.SZ,宁波银行,20080331,832315.41
002142.SZ,宁波银行,20071231,802231.7
002142.SZ,宁波银行,20070930,765546.3
002142.SZ,宁波银行,20070630,337341.46
002142.SZ,宁波银行,20061231,319618.37
002142.SZ,宁波银行,20051231,218717.21
002142.SZ,宁波银行,20041231,174362.86
600000.SH,浦发银行,20140930,23449900
600000.SH,浦发银行,20140630,22131900
600000.SH,浦发银行,20140331,21963700
600000.SH,浦发银行,20131231,20722700
600000.SH,浦发银行,20130930,19840100
600000.SH,浦发银行,20130630,18902600
600000.SH,浦发银行,20130331,18907800
600000.SH,浦发银行,20121231,17965900
600000.SH,浦发银行,20120930,17159260.2
600000.SH,浦发银行,20120630,16389532.4
600000.SH,浦发银行,20120331,15774637.5
600000.SH,浦发银行,20111231,14954278
600000.SH,浦发银行,20110930,14000818.14
600000.SH,浦发银行,20110630,13364094.8
600000.SH,浦发银行,20110331,12941399.03
600000.SH,浦发银行,20101231,12327985.05
600000.SH,浦发银行,20100930,8181726.83
600000.SH,浦发银行,20100630,7606769.55
600000.SH,浦发银行,20100331,7234164.91
600000.SH,浦发银行,20091231,6808744.59
600000.SH,浦发银行,20090930,6512171.19
600000.SH,浦发银行,20090630,4685610.17
600000.SH,浦发银行,20090331,4502332.2
600000.SH,浦发银行,20081231,4170179.93
600000.SH,浦发银行,20080930,3809718.42
600000.SH,浦发银行,20080630,3460707.16
