stockid,stockname,date,revenue,interestincome,interestexpense,noninterestexpense,adminexpense
000001.SZ,平安银行,20140930,"5,465,100.00 ","8,757,000.00 ","4,915,200.00 ","167,600.00 ","2,005,600.00 "
000001.SZ,平安银行,20140630,"3,473,300.00 ","5,695,000.00 ","3,239,600.00 ","117,000.00 ","1,305,500.00 "
000001.SZ,平安银行,20140331,"1,610,000.00 ","2,790,400.00 ","1,635,400.00 ","67,200.00 ","606,200.00 "
000001.SZ,平安银行,20131231,"5,218,900.00 ","9,310,200.00 ","5,241,400.00 ","136,500.00 ","2,127,900.00 "
000001.SZ,平安银行,20130930,"3,734,500.00 ","6,748,700.00 ","3,843,100.00 ","86,500.00 ","1,477,600.00 "
000001.SZ,平安银行,20130630,"2,342,600.00 ","4,322,600.00 ","2,469,800.00 ","51,500.00 ","910,600.00 "
000001.SZ,平安银行,20130331,"1,080,200.00 ","2,024,600.00 ","1,153,900.00 ","22,400.00 ","418,400.00 "
000001.SZ,平安银行,20121231,"3,974,864.80 ","7,461,367.50 ","4,157,832.30 ","72,824.30 ","1,566,439.40 "
000001.SZ,平安银行,20120930,"2,953,167.30 ","5,617,419.20 ","3,161,405.80 ","50,480.40 ","1,138,714.00 "
000001.SZ,平安银行,20120630,"1,962,553.40 ","3,722,684.40 ","2,107,024.70 ","32,042.60 ","748,273.40 "
000001.SZ,平安银行,20120331,"972,388.00 ","1,836,647.60 ","1,041,141.70 ","14,832.00 ","371,292.10 "
000001.SZ,平安银行,20111231,"2,964,306.10 ","5,233,069.70 ","2,704,092.30 ","46,493.10 ","1,185,544.20 "
000001.SZ,平安银行,20110930,"2,070,140.10 ","3,499,946.00 ","1,731,847.40 ","29,574.70 ","795,796.50 "
000001.SZ,平安银行,20110630,"1,214,059.00 ","1,954,046.10 ","914,823.90 ","14,239.80 ","440,692.60 "
000001.SZ,平安银行,20110331,"581,503.80 ","921,983.70 ","411,550.70 ","6,217.40 ","206,787.00 "
000001.SZ,平安银行,20101231,"1,802,227.80 ","2,625,179.00 ","1,042,259.80 ","25,123.40 ","736,001.20 "
000001.SZ,平安银行,20100930,"1,315,963.90 ","1,881,250.50 ","735,252.30 ","18,270.00 ","549,032.40 "
000001.SZ,平安银行,20100630,"849,611.10 ","1,217,959.50 ","477,038.30 ","11,490.30 ","359,048.30 "
000001.SZ,平安银行,20100331,"408,425.20 ","593,470.20 ","232,441.30 ","4,908.90 ","168,488.60 "
000001.SZ,平安银行,20091231,"1,511,444.00 ","2,198,551.20 ","900,113.80 ","20,618.80 ","631,109.10 "
000001.SZ,平安银行,20090930,"1,111,395.30 ","1,641,911.30 ","685,902.90 ","14,718.70 ","444,391.70 "
000001.SZ,平安银行,20090630,"749,085.00 ","1,117,129.20 ","480,775.80 ","9,174.70 ","294,293.70 "
000001.SZ,平安银行,20090331,"376,060.40 ","587,266.50 ","257,340.90 ","4,548.10 ","146,568.60 "
000001.SZ,平安银行,20081231,"1,451,311.90 ","2,646,526.40 ","1,386,737.60 ","20,525.90 ","522,386.60 "
000001.SZ,平安银行,20080930,"1,074,140.60 ","1,991,912.70 ","1,044,032.60 ","14,320.30 ","374,018.80 "
000001.SZ,平安银行,20080630,"711,525.30 ","1,319,545.70 ","689,290.80 ","8,946.30 ","249,229.20 "
000001.SZ,平安银行,20080331,"355,327.00 ","643,425.40 ","328,891.80 ","4,635.10 ","131,101.40 "
000001.SZ,平安银行,20071231,"1,080,750.20 ","1,804,390.00 ","843,805.10 ","14,703.80 ","420,749.40 "
000001.SZ,平安银行,20070930,"776,719.40 ","1,242,802.00 ","549,144.90 ","9,558.20 ","293,753.10 "
000001.SZ,平安银行,20070630,"489,071.50 ","762,121.60 ","318,713.10 ","5,323.60 ","185,823.90 "
000001.SZ,平安银行,20070331,"235,212.89 ","357,640.04 ","143,898.86 ","2,199.97 ","88,795.87 "
000001.SZ,平安银行,20061231,"713,521.75 ","1,155,121.72 ","506,877.29 ","11,885.34 ","325,078.00 "
000001.SZ,平安银行,20060930,"507,699.79 ","831,387.06 ","373,250.25 ","7,934.80 ","230,636.30 "
000001.SZ,平安银行,20060630,"311,819.38 ","521,059.42 ","237,614.18 ","4,380.40 ","148,497.67 "
000001.SZ,平安银行,20060331,"159,676.66 ","261,004.23 ","112,467.55 ","2,065.78 ","67,019.95 "
000001.SZ,平安银行,20051231,"545,055.08 ","866,401.26 ","377,033.68 ","6,799.05 ","259,681.16 "
000001.SZ,平安银行,20050930,"634,968.39 ","619,336.63 ",0.00 ,"4,671.59 ",0.00 
000001.SZ,平安银行,20050630,"419,908.36 ","410,028.83 ",0.00 ,"2,950.71 ",0.00 
000001.SZ,平安银行,20050331,"197,607.00 ","192,750.31 ",0.00 ,"1,454.87 ",0.00 
