stockid,stockname,date,asset,equity
000001.SZ,平安银行,20140930,214435800,12673600
000001.SZ,平安银行,20140630,213647500,12094000
000001.SZ,平安银行,20140331,209710200,11730000
000001.SZ,平安银行,20131231,189174100,11208100
000001.SZ,平安银行,20130930,185561900,9491300
000001.SZ,平安银行,20130630,182699800,9154200
000001.SZ,平安银行,20130331,181124900,8875900
000001.SZ,平安银行,20121231,160653676,8479877.5
000001.SZ,平安银行,20120930,147753074.4,8172588.5
000001.SZ,平安银行,20120630,149062285.1,7982261
000001.SZ,平安银行,20120331,136800506.5,7895742.3
000001.SZ,平安银行,20111231,125817694.4,7538058.4
000001.SZ,平安银行,20110930,120721249.9,7168626.4
000001.SZ,平安银行,20110630,85205702.5,3815239.5
000001.SZ,平安银行,20110331,80756344.5,3595007.1
000001.SZ,平安银行,20101231,72761006.8,3351287.6
000001.SZ,平安银行,20100930,67506387.8,3214413.5
000001.SZ,平安银行,20100630,62439817.9,3042110.8
000001.SZ,平安银行,20100331,61992762.5,2210982.6
000001.SZ,平安银行,20091231,58781103.4,2046960.9
000001.SZ,平安银行,20090930,55426468.4,1908843.5
000001.SZ,平安银行,20090630,54122573.6,1798739.2
000001.SZ,平安银行,20090331,52187939.8,1707212.9
000001.SZ,平安银行,20081231,47444017.3,1640079
000001.SZ,平安银行,20080930,44145439.8,1837466.3
000001.SZ,平安银行,20080630,44182348.4,1694329.9
000001.SZ,平安银行,20080331,40947392.3,1404138.4
000001.SZ,平安银行,20071231,35253936.1,1300606.3
000001.SZ,平安银行,20070930,34052693.9,836355.3
000001.SZ,平安银行,20070630,31405600.6,769847.8
000001.SZ,平安银行,20070331,28765861.09,710609.4
000001.SZ,平安银行,20061231,26057626.32,647446.32
000001.SZ,平安银行,20060930,24623027.73,605395.45
000001.SZ,平安银行,20060630,24282388.28,559204.03
000001.SZ,平安银行,20060331,23955757.46,526413.3
000001.SZ,平安银行,20051231,22232468.66,505441.06
000001.SZ,平安银行,20050930,22051594.39,501496.61
000001.SZ,平安银行,20050630,21050561.86,489214.91
000001.SZ,平安银行,20050331,20120398.96,483878.87
000001.SZ,平安银行,20041231,20428642.4,468466.23
000001.SZ,平安银行,20040930,19884819.55,437212.16
000001.SZ,平安银行,20040630,20319444.36,425080.43
000001.SZ,平安银行,20040331,21249734.48,417870.88
000001.SZ,平安银行,20031231,19345341.53,439488.9
000001.SZ,平安银行,20030930,19339629.15,398188.95
000001.SZ,平安银行,20030630,17545483.09,433023.59
000001.SZ,平安银行,20030331,16246741.96,392123.21
000001.SZ,平安银行,20021231,16616637.94,376802.14
000001.SZ,平安银行,20020930,16002197.08,405819.36
000001.SZ,平安银行,20020630,13468902.03,394185.6
000001.SZ,平安银行,20020331,11068855.26,381191.61
000001.SZ,平安银行,20011231,12012698.34,362766.88
000001.SZ,平安银行,20010630,8518142.68,496182.41
000001.SZ,平安银行,20001231,6722749.98,473888.37
000001.SZ,平安银行,20000630,4973233.65,307851.26
000001.SZ,平安银行,19991231,4586897.21,290083.07
000001.SZ,平安银行,19990630,3871211.3,391754.93
000001.SZ,平安银行,19981231,3939985.86,367636.32
000001.SZ,平安银行,19980630,3487337.23,377697.4
000001.SZ,平安银行,19971231,3179862.87,340068.17
000001.SZ,平安银行,19970630,3053193.37,298246.74
000001.SZ,平安银行,19961231,3002202.97,253968.69
000001.SZ,平安银行,19960630,2429676.89,232489.48
000001.SZ,平安银行,19951231,2031247.56,196053.89
000001.SZ,平安银行,19950630,1743993.04,186832.63
000001.SZ,平安银行,19941231,1548841.2,165983.3
000001.SZ,平安银行,19940630,1246595.38,151291.35
000001.SZ,平安银行,19931231,932322.44,120880.48
000001.SZ,平安银行,19921231,752284.74,54566.22
000001.SZ,平安银行,19911231,435446,57796
000001.SZ,平安银行,19901231,291919,23651
000001.SZ,平安银行,19891231,168166,14406
002142.SZ,宁波银行,20140930,53792024.5,3273068.6
002142.SZ,宁波银行,20140630,52422890.2,2922081.4
002142.SZ,宁波银行,20140331,53174835.7,2735786.3
002142.SZ,宁波银行,20131231,46777260.1,2552188.8
002142.SZ,宁波银行,20130930,45244979,2502501
002142.SZ,宁波银行,20130630,44394959.9,2466835.7
002142.SZ,宁波银行,20130331,42161929.8,2337804.4
002142.SZ,宁波银行,20121231,37353658.9,2211696
002142.SZ,宁波银行,20120930,33891311.1,2140748.1
002142.SZ,宁波银行,20120630,27764342,2037110.9
002142.SZ,宁波银行,20120331,26555664.2,1972523.3
002142.SZ,宁波银行,20111231,26049763.7,1871406.7
002142.SZ,宁波银行,20110930,23327877.4,1784072.9
002142.SZ,宁波银行,20110630,26244627.9,1694040.9
002142.SZ,宁波银行,20110331,27137339,1669486
002142.SZ,宁波银行,20101231,26327433.2,1587663.9
002142.SZ,宁波银行,20100930,23496845,1114246.9
002142.SZ,宁波银行,20100630,20976121.1,1053617.8
002142.SZ,宁波银行,20100331,18247626.3,1025723.5
002142.SZ,宁波银行,20091231,16335186.6,974198.3
002142.SZ,宁波银行,20090930,14446698.14,938873.29
002142.SZ,宁波银行,20090630,12987830.94,900813.17
002142.SZ,宁波银行,20090331,11885188.91,913286.08
002142.SZ,宁波银行,20081231,10326319.06,880500.35
002142.SZ,宁波银行,20080930,10133298.08,860091.72
002142.SZ,宁波银行,20080630,8829899.87,820533.95
002142.SZ,宁波银行,20080331,8258209.32,832315.41
002142.SZ,宁波银行,20071231,7551077.11,802231.7
002142.SZ,宁波银行,20070930,7341146.81,765546.3
002142.SZ,宁波银行,20070630,6691931.08,337341.46
002142.SZ,宁波银行,20061231,5654623.29,319618.37
002142.SZ,宁波银行,20051231,4242934.78,218717.21
002142.SZ,宁波银行,20041231,3423800.36,174362.86
600000.SH,浦发银行,20140930,395664200,23449900
600000.SH,浦发银行,20140630,393021700,22131900
600000.SH,浦发银行,20140331,374050000,21963700
600000.SH,浦发银行,20131231,368012500,20722700
600000.SH,浦发银行,20130930,359394300,19840100
600000.SH,浦发银行,20130630,346844200,18902600
600000.SH,浦发银行,20130331,340791700,18907800
600000.SH,浦发银行,20121231,314570700,17965900
600000.SH,浦发银行,20120930,314218460.7,17159260.2
600000.SH,浦发银行,20120630,303643242.2,16389532.4
600000.SH,浦发银行,20120331,280464656.7,15774637.5
600000.SH,浦发银行,20111231,268469368.9,14954278
600000.SH,浦发银行,20110930,252141729.5,14000818.14
600000.SH,浦发银行,20110630,245523999.4,13364094.8
600000.SH,浦发银行,20110331,227013601.1,12941399.03
600000.SH,浦发银行,20101231,219141077.4,12327985.05
600000.SH,浦发银行,20100930,197571839.1,8181726.83
600000.SH,浦发银行,20100630,178126137.5,7606769.55
600000.SH,浦发银行,20100331,166155663.6,7234164.91
600000.SH,浦发银行,20091231,162271796,6808744.59
600000.SH,浦发银行,20090930,158738292.2,6512171.19
600000.SH,浦发银行,20090630,161948257.6,4685610.17
600000.SH,浦发银行,20090331,150014126.5,4502332.2
600000.SH,浦发银行,20081231,130942544.2,4170179.93
600000.SH,浦发银行,20080930,111545552.6,3809718.42
600000.SH,浦发银行,20080630,100261052.2,3460707.16
