stockid,stockname,date,loan,deposit
000001.SZ,平安银行,20141231,102473400,153318300
000001.SZ,平安银行,20140630,93822700,150890400
000001.SZ,平安银行,20131231,84728900,121700200
000001.SZ,平安银行,20130630,78648400,117536100
000001.SZ,平安银行,20121231,72078004.8,102110770.2
000001.SZ,平安银行,20120630,68290553,94957797.5
000001.SZ,平安银行,20111231,62064181.7,85084514.7
000001.SZ,平安银行,20110630,44848382.6,63249654.3
000001.SZ,平安银行,20101231,40739113.5,56291234.2
000001.SZ,平安银行,20100630,37362473.6,50598833.8
000001.SZ,平安银行,20091231,35951741.3,45463520.8
000001.SZ,平安银行,20090630,34234588.5,41657188.2
000001.SZ,平安银行,20081231,28374136.6,36051403.6
000001.SZ,平安银行,20080630,24637253.6,34313986.4
000001.SZ,平安银行,20071231,22181359.8,28127698.1
000001.SZ,平安银行,20070630,20741381.9,26646579.9
000001.SZ,平安银行,20061231,18218194.7,23220632.77
000001.SZ,平安银行,20060630,17593948.07,21171555.2
000001.SZ,平安银行,20051231,15610302.4,20181580.1
000001.SZ,平安银行,20050630,13533933.53,17613589.16
000001.SZ,平安银行,20041231,12619546.32,16726624.85
000001.SZ,平安银行,20040630,14141306.2,16134936.21
000001.SZ,平安银行,20031231,11011950.54,14174764.67
000001.SZ,平安银行,20030630,8878460.28,11647866.01
000001.SZ,平安银行,20021231,8411471.78,11469250.95
000001.SZ,平安银行,20020630,7023000,9359400
000001.SZ,平安银行,20011231,5346508.36,8787662.41
000001.SZ,平安银行,20010630,5021236,6883126
000001.SZ,平安银行,20001231,3821116.14,5226533.23
000001.SZ,平安银行,20000630,2784900,4039400
000001.SZ,平安银行,19991231,2655300,3761700
002142.SZ,宁波银行,20140930,20095134.9,30705959.4
002142.SZ,宁波银行,20140630,19091780.2,30588396.2
002142.SZ,宁波银行,20131231,17118966.6,25527832.7
002142.SZ,宁波银行,20130630,15882041.6,25468975.4
002142.SZ,宁波银行,20121231,14561754.3,20757727
002142.SZ,宁波银行,20120630,13627536.6,20446180.4
002142.SZ,宁波银行,20111231,12274511,17673665.6
002142.SZ,宁波银行,20110630,11374374.4,17272370.9
002142.SZ,宁波银行,20101231,10157440.7,14582797.9
002142.SZ,宁波银行,20100630,9360569,12837482
002142.SZ,宁波银行,20091231,8186384.9,11075246.1
002142.SZ,宁波银行,20090630,6424869.68,9702752.9
002142.SZ,宁波银行,20081231,4915596.59,7622173.97
002142.SZ,宁波银行,20080630,4387613.49,6421684.18
002142.SZ,宁波银行,20071231,3650245.63,5551404.43
002142.SZ,宁波银行,20070630,3361604.89,5147678.3
002142.SZ,宁波银行,20061231,2813489.9,4619139.64
002142.SZ,宁波银行,20051231,1960913.3,3752124.2
002142.SZ,宁波银行,20041231,1729544.4,2975505.54
600000.SH,浦发银行,20141231,202838000,272400400
600000.SH,浦发银行,20140630,189834400,275678300
600000.SH,浦发银行,20131231,176749400,241969600
600000.SH,浦发银行,20130630,167828600,238796800
600000.SH,浦发银行,20121231,154455300,213436500
600000.SH,浦发银行,20120630,145243687,206174919.2
600000.SH,浦发银行,20111231,133143604.4,185105512.1
600000.SH,浦发银行,20110630,123740664.5,175091745.6
600000.SH,浦发银行,20101231,114648930.1,163867959
600000.SH,浦发银行,20100630,105060960.3,144469333.6
600000.SH,浦发银行,20091231,92885475,129534234.2
600000.SH,浦发银行,20090630,93871837.2,123445617.3
600000.SH,浦发银行,20081231,69756467,94729358.2
600000.SH,浦发银行,20080630,62167169.8,83352790.2
600000.SH,浦发银行,20071231,55098837.8,76347289.3
600000.SH,浦发银行,20070630,52427208.8,64147138.1
600000.SH,浦发银行,20061231,46089300.2,59648849.8
600000.SH,浦发银行,20060630,43081679.9,55911672.5
600000.SH,浦发银行,20051231,37722293.7,50557562.9
600000.SH,浦发银行,20050630,33995015.6,43494199.8
600000.SH,浦发银行,20041231,31090514,39538177
600000.SH,浦发银行,20040630,28086427.8,35584626
600000.SH,浦发银行,20031231,25511133.9,32211409.4
600000.SH,浦发银行,20030630,23060799,28300437.5
600000.SH,浦发银行,20021231,17437747.7,24391323.7
600000.SH,浦发银行,20020630,13238202.6,17594883.3
600000.SH,浦发银行,20011231,9715146.9,14827128.8
600000.SH,浦发银行,20010630,8570719.9,12321604.3
600000.SH,浦发银行,20001231,6989728.8,10612969.1
600000.SH,浦发银行,20000630,6185000,9014000
600000.SH,浦发银行,19991231,5471900,8087300
600015.SH,华夏银行,20140930,91039400,126792200
600015.SH,华夏银行,20140630,89195200,129179400
600015.SH,华夏银行,20131231,82316900,117759200
600015.SH,华夏银行,20130630,77267100,109259100
600015.SH,华夏银行,20121231,72016802.4,103600011.2
600015.SH,华夏银行,20120630,67059129.94,96885186.61
600015.SH,华夏银行,20111231,61146291.7,89602365.4
600015.SH,华夏银行,20110630,57067509,81759167.9
600015.SH,华夏银行,20101231,52793668.1,76762224.9
600015.SH,华夏银行,20100630,48902212.7,67180944.6
600015.SH,华夏银行,20091231,43022558.4,58167838.8
600015.SH,华夏银行,20090630,42591211.1,56358404.3
600015.SH,华夏银行,20081231,35547783.8,48534957.7
600015.SH,华夏银行,20080630,33424578.1,45732075.69
600015.SH,华夏银行,20071231,30607767,43878225.9
600015.SH,华夏银行,20070630,29026654.9,38038318.2
600015.SH,华夏银行,20061231,25976714.5,37129502.4
600015.SH,华夏银行,20060630,26083045.1,33765707.7
600015.SH,华夏银行,20051231,23368752.4,31050349.9
600015.SH,华夏银行,20050630,20524238.9,28054240.6
600015.SH,华夏银行,20041231,18111220.2,26784237.2
600015.SH,华夏银行,20040630,17011031.6,22246311.8
600015.SH,华夏银行,20031231,15075575.9,20931376
600015.SH,华夏银行,20030630,12431176.1,16881692.8
600015.SH,华夏银行,20021231,8831098.2,14781416.3
600015.SH,华夏银行,20011231,6642245.3,11037972.8
600015.SH,华夏银行,20001231,5658887.3,7905956.9
600016.SH,民生银行,20140930,175096900,239769000
600016.SH,民生银行,20140630,169628300,242057700
600016.SH,民生银行,20131231,157426300,214668900
600016.SH,民生银行,20130630,148497000,217497500
600016.SH,民生银行,20121231,138461000,192619400
600016.SH,民生银行,20120630,130325700,181096300
600016.SH,民生银行,20111231,120522100,164473800
600016.SH,民生银行,20110630,114227400,153658600
600016.SH,民生银行,20101231,105757100,141693900
600016.SH,民生银行,20100630,95484600,131956000
600016.SH,民生银行,20091231,88297900,112793800
600016.SH,民生银行,20090630,90393400,107530900
600016.SH,民生银行,20081231,65836000,78578600
600016.SH,民生银行,20080630,61205060.1,76040419.2
600016.SH,民生银行,20071231,55495852.8,67121943
600016.SH,民生银行,20070630,54188494.1,64183058.1
600016.SH,民生银行,20061231,44744724.8,58331523.9
600016.SH,民生银行,20060630,42640433.7,53495060.7
600016.SH,民生银行,20051231,37807184.5,48883276.3
600016.SH,民生银行,20050630,31775323.7,44010482.2
600016.SH,民生银行,20041231,28836214.3,38004430.2
600016.SH,民生银行,20040630,24956364.1,33714237.7
600016.SH,民生银行,20031231,20177290.9,27464411.7
600016.SH,民生银行,20030630,17034902.8,23752036
600016.SH,民生银行,20021231,12834627.9,18470475.2
600016.SH,民生银行,20020630,11240073.6,13676501
600016.SH,民生银行,20011231,7356427.6,10398196
600016.SH,民生银行,20010630,4722511.2,7481973.3
600016.SH,民生银行,20001231,3490917.89,5271480.95
600016.SH,民生银行,20000630,,
600016.SH,民生银行,19991231,1678544.9,2906203.1
600016.SH,民生银行,19981231,1114157.5,1854822.91
600016.SH,民生银行,19971231,,
600036.SH,招商银行,20141231,251391900,330443800
600036.SH,招商银行,20140630,242209200,342074800
600036.SH,招商银行,20131231,219709400,277527600
600036.SH,招商银行,20130630,209807800,279757800
600036.SH,招商银行,20121231,190446300,253244400
600036.SH,招商银行,20120630,178390300,245643600
600036.SH,招商银行,20111231,164107500,222006000
600036.SH,招商银行,20110630,155479200,209275800
600036.SH,招商银行,20101231,143145100,189717800
600036.SH,招商银行,20100630,133076500,175240000
600036.SH,招商银行,20091231,118582200,160814600
600036.SH,招商银行,20090630,115216700,154068200
600036.SH,招商银行,20081231,87436200,125064800
600036.SH,招商银行,20080630,74266000,104662600
600036.SH,招商银行,20071231,67316700,94353400
600036.SH,招商银行,20070630,62955300,84457100
600036.SH,招商银行,20061231,56570228.4,77375701.7
600036.SH,招商银行,20060630,53157671.7,70360209.3
600036.SH,招商银行,20051231,47218500.4,63440355.2
600036.SH,招商银行,20050630,45257487.2,58580249.1
600036.SH,招商银行,20041231,37590727.3,51258619.4
600036.SH,招商银行,20040630,34370307.8,44182496.3
600036.SH,招商银行,20031231,30748005.6,40688585.5
600036.SH,招商银行,20030630,26407779.2,34849213.6
600036.SH,招商银行,20021231,20693127.3,30039493
600036.SH,招商银行,20020630,17458094.7,24553640.9
600036.SH,招商银行,20011231,14018548.5,21429843.4
600036.SH,招商银行,20001231,10974288.5,16446556.9
600036.SH,招商银行,19991231,8283503.8,12226797.8
601009.SH,南京银行,20140930,16731865.6,34290759.02
