date,industry_asset
20150630,1.88E+10
20150331,1.79E+10
20141231,1.72E+10
20140930,1.68E+10
20140630,1.67E+10
20140331,1.60E+10
20131231,1.51E+10
20130930,1.47E+10
20130630,1.44E+10
20130331,1.41E+10
20121231,1.34E+10
20120930,1.29E+10
20120630,1.27E+10
20120331,1.21E+10
20111231,1.13E+10
20110930,1.07E+10
20110630,1.06E+10
20110331,1.01E+10
20101231,9.53E+09
20100930,9.06E+09
20100630,8.72E+09
20100331,8.43E+09
20091231,7.88E+09
20090930,7.53E+09
20090630,7.37E+09
20090331,6.94E+09
20081231,6.24E+09
20080930,5.93E+09
20080630,5.77E+09
20080331,5.55E+09
20071231,5.26E+09
20070930,5.06E+09
20070630,4.85E+09
20070331,4.59E+09
20061231,4.40E+09
20060930,4.21E+09
20060630,4.10E+09
20060331,3.92E+09
20051231,3.75E+09
20050930,3.60E+09
20050630,3.46E+09
20050331,3.29E+09
20041231,3.16E+09
20040930,3.01E+09
20040630,2.97E+09
20040331,2.88E+09
