date,industry_deposit,industry_loan
201507,1.34E+10,9.03E+09
201506,1.32E+10,8.88E+09
201505,1.29E+10,8.75E+09
201504,1.26E+10,8.66E+09
201503,1.25E+10,8.59E+09
201502,1.22E+10,8.47E+09
201501,1.22E+10,8.37E+09
201412,1.14E+10,8.17E+09
201411,1.13E+10,8.10E+09
201410,1.12E+10,8.01E+09
201409,1.13E+10,7.96E+09
201408,1.12E+10,7.87E+09
201407,1.12E+10,7.80E+09
201406,1.14E+10,7.76E+09
201405,1.10E+10,7.66E+09
201404,1.08E+10,7.57E+09
201403,1.09E+10,7.49E+09
201402,1.05E+10,7.39E+09
201401,1.03E+10,7.32E+09
201312,1.04E+10,7.19E+09
201311,1.03E+10,7.14E+09
201310,1.03E+10,7.08E+09
201309,1.03E+10,7.03E+09
201308,1.01E+10,6.95E+09
201307,1.01E+10,6.88E+09
201306,1.01E+10,6.81E+09
201305,9.93E+09,6.72E+09
201304,9.78E+09,6.66E+09
201303,9.79E+09,6.58E+09
201302,9.37E+09,6.47E+09
201301,9.29E+09,6.41E+09
201212,9.17E+09,6.30E+09
201211,9.02E+09,6.25E+09
201210,8.97E+09,6.20E+09
201209,9.00E+09,6.15E+09
201208,8.83E+09,6.09E+09
201207,8.78E+09,6.02E+09
201206,8.83E+09,5.96E+09
201205,8.55E+09,5.87E+09
201204,8.42E+09,5.79E+09
201203,8.47E+09,5.72E+09
201202,8.17E+09,5.62E+09
201201,8.01E+09,5.55E+09
201112,8.09E+09,5.48E+09
201111,7.95E+09,5.41E+09
201110,7.92E+09,5.35E+09
201109,7.94E+09,5.29E+09
201108,7.87E+09,5.24E+09
201107,7.80E+09,5.19E+09
201106,7.86E+09,5.14E+09
201105,7.67E+09,5.08E+09
201104,7.56E+09,5.02E+09
201103,7.53E+09,4.95E+09
201102,7.26E+09,4.89E+09
201101,7.12E+09,4.83E+09
201012,7.18E+09,4.79E+09
201011,7.09E+09,4.74E+09
201010,7.03E+09,4.69E+09
201009,7.01E+09,4.63E+09
201008,6.86E+09,4.57E+09
201007,6.76E+09,4.51E+09
201006,6.74E+09,4.46E+09
201005,6.61E+09,4.40E+09
201004,6.50E+09,4.34E+09
201003,6.38E+09,4.26E+09
201002,6.22E+09,4.21E+09
201001,6.13E+09,4.14E+09
200912,5.98E+09,4.00E+09
200911,5.93E+09,3.96E+09
200910,5.87E+09,3.93E+09
200909,5.84E+09,3.90E+09
200908,5.74E+09,3.85E+09
200907,5.70E+09,3.81E+09
200906,5.66E+09,3.77E+09
200905,5.46E+09,3.62E+09
200904,5.33E+09,3.55E+09
200903,5.23E+09,3.50E+09
200902,4.98E+09,3.31E+09
200901,4.82E+09,3.20E+09
200812,4.66E+09,3.03E+09
200811,4.62E+09,2.96E+09
200810,4.58E+09,2.98E+09
200809,4.55E+09,2.96E+09
200808,4.50E+09,2.93E+09
200807,4.44E+09,2.90E+09
200806,4.39E+09,2.86E+09
200805,4.31E+09,2.83E+09
200804,4.22E+09,2.80E+09
200803,4.16E+09,2.75E+09
200802,4.05E+09,2.72E+09
200801,3.92E+09,2.70E+09
200712,3.89E+09,2.62E+09
200711,3.86E+09,2.61E+09
200710,3.78E+09,2.60E+09
200709,3.83E+09,2.59E+09
200708,3.77E+09,2.56E+09
200707,3.71E+09,2.53E+09
200706,3.69E+09,2.51E+09
200705,3.60E+09,2.46E+09
200704,3.59E+09,2.44E+09
200703,3.54E+09,2.40E+09
200702,3.45E+09,2.35E+09
200701,3.40E+09,2.31E+09
200612,3.35E+09,2.25E+09
200611,3.34E+09,2.23E+09
200610,3.29E+09,2.21E+09
200609,3.28E+09,2.21E+09
200608,3.24E+09,2.19E+09
200607,3.20E+09,2.17E+09
200606,3.18E+09,2.15E+09
200605,3.14E+09,2.12E+09
200604,3.10E+09,2.10E+09
200603,3.06E+09,2.06E+09
200602,2.98E+09,2.01E+09
200601,2.91E+09,1.99E+09
200512,2.87E+09,1.95E+09
200511,2.86E+09,1.93E+09
200510,2.81E+09,1.91E+09
200509,2.80E+09,1.91E+09
200508,2.75E+09,1.88E+09
200507,2.71E+09,1.86E+09
200506,2.69E+09,1.86E+09
200505,2.63E+09,1.86E+09
200504,2.59E+09,1.87E+09
200503,2.56E+09,1.85E+09
200502,2.49E+09,1.82E+09
200501,2.45E+09,1.81E+09
200412,2.41E+09,1.77E+09
200411,2.40E+09,1.75E+09
200410,2.36E+09,1.74E+09
200409,2.35E+09,1.73E+09
200408,2.32E+09,1.71E+09
200407,2.30E+09,1.70E+09
200406,2.30E+09,1.70E+09
200405,2.25E+09,1.71E+09
200404,2.22E+09,1.69E+09
200403,2.21E+09,1.67E+09
200402,2.15E+09,1.64E+09
200401,2.10E+09,1.62E+09
200312,2.08E+09,1.59E+09
200311,2.06E+09,1.58E+09
200310,2.04E+09,1.57E+09
200309,2.03E+09,1.56E+09
200308,1.98E+09,1.53E+09
200307,1.96E+09,1.50E+09
200306,1.94E+09,1.49E+09
200305,1.89E+09,1.44E+09
200304,1.85E+09,1.41E+09
200303,1.82E+09,1.39E+09
200302,1.77E+09,1.36E+09
200301,1.73E+09,1.35E+09
200212,1.71E+09,1.31E+09
200211,1.69E+09,1.29E+09
200210,1.66E+09,1.27E+09
