date,interbank_rate
20150814,0.025259
20150813,0.025787
20150812,0.025418
20150811,0.025291
20150810,0.024475
20150807,0.025039
20150806,0.024937
20150805,0.024783
20150804,0.026909
20150803,0.025357
20150731,0.026285
20150730,0.025395
20150729,0.026024
20150728,0.026637
20150727,0.025741
20150724,0.027945
20150723,0.02649
20150722,0.026363
20150721,0.025558
20150720,0.024518
20150717,0.025328
20150716,0.025429
20150715,0.02741
20150714,0.027037
20150713,0.026477
20150710,0.026613
20150709,0.032752
20150708,0.027019
20150707,0.027036
20150706,0.028012
20150703,0.029652
20150702,0.029834
20150701,0.028741
20150630,0.026757
20150629,0.029816
20150626,0.030961
20150625,0.031364
20150624,0.029208
20150623,0.033512
20150619,0.031661
20150618,0.028059
20150617,0.028175
20150616,0.025047
20150615,0.022861
20150612,0.025132
20150611,0.023663
20150610,0.021746
20150609,0.022267
20150608,0.022888
20150605,0.023123
20150604,0.023233
20150603,0.023839
20150602,0.022698
20150601,0.022551
20150529,0.021026
20150528,0.023316
20150527,0.023268
20150526,0.022336
20150525,0.021768
20150522,0.021551
20150521,0.021553
20150520,0.02095
20150519,0.021251
20150518,0.021653
20150515,0.02363
20150514,0.022943
20150513,0.022961
20150512,0.023725
20150511,0.024641
20150508,0.025906
20150507,0.024952
20150506,0.024845
20150505,0.02661
20150504,0.027708
20150430,0.025448
20150429,0.026591
20150428,0.026049
20150427,0.026107
20150424,0.027448
20150423,0.027282
20150422,0.029169
20150421,0.028718
20150420,0.032287
20150417,0.03091
20150416,0.031169
20150415,0.032136
20150414,0.033329
20150413,0.035227
20150410,0.033567
20150409,0.034305
20150408,0.034062
20150407,0.035111
20150403,0.037007
20150402,0.037684
20150401,0.038461
20150331,0.040282
20150330,0.040749
20150327,0.041284
20150326,0.040584
20150325,0.040999
20150324,0.042291
20150323,0.044156
20150320,0.045343
20150319,0.046386
20150318,0.049261
20150317,0.048432
20150316,0.049759
20150313,0.051758
20150312,0.050132
20150311,0.051695
20150310,0.050676
20150309,0.052036
20150306,0.05155
20150305,0.049003
20150304,0.049152
20150303,0.049688
20150302,0.049665
20150228,0.048713
20150227,0.051648
20150226,0.050842
20150225,0.048725
20150217,0.047633
20150216,0.049941
20150215,0.048479
20150213,0.048305
20150212,0.048656
20150211,0.045512
20150210,0.047089
20150209,0.045988
20150206,0.045547
20150205,0.046282
20150204,0.045914
20150203,0.043829
20150202,0.046157
20150130,0.042511
20150129,0.043646
20150128,0.042093
20150127,0.039416
20150126,0.040034
20150123,0.041528
20150122,0.041605
20150121,0.045098
20150120,0.037722
20150119,0.039869
20150116,0.039988
20150115,0.040048
20150114,0.039714
20150113,0.039627
20150112,0.040502
20150109,0.041546
20150108,0.039529
20150107,0.039453
20150106,0.043117
20150105,0.04725
20150104,0.048276
20141231,0.048928
20141230,0.048318
20141229,0.04968
20141226,0.048701
20141225,0.05097
20141224,0.052477
20141223,0.057551
20141222,0.062606
20141219,0.061414
20141218,0.056535
20141217,0.04811
20141216,0.041006
20141215,0.037482
20141212,0.039348
20141211,0.040039
20141210,0.03911
20141209,0.039178
20141208,0.036393
20141205,0.034537
20141204,0.03601
20141203,0.035231
20141202,0.036203
20141201,0.036421
20141128,0.035418
20141127,0.034697
20141126,0.034185
20141125,0.034719
20141124,0.03816
20141121,0.03699
20141120,0.034836
20141119,0.033325
20141118,0.034235
20141117,0.032234
20141114,0.030712
20141113,0.031434
20141112,0.033378
20141111,0.031371
20141110,0.034938
20141107,0.032586
20141106,0.032455
20141105,0.032937
20141104,0.032803
20141103,0.033712
20141031,0.032849
20141030,0.032563
20141029,0.03379
20141028,0.032042
20141027,0.031614
20141024,0.032406
20141023,0.031437
20141022,0.031377
20141021,0.032548
20141020,0.031295
20141017,0.031144
20141016,0.031396
20141015,0.032431
20141014,0.032074
20141013,0.032868
20141011,0.031478
20141010,0.030784
20141009,0.031036
20141008,0.031554
20140930,0.028083
20140929,0.031872
20140928,0.031991
20140926,0.034713
20140925,0.034596
20140924,0.037463
20140923,0.03276
20140922,0.034301
20140919,0.035341
20140918,0.034377
20140917,0.034502
20140916,0.03494
20140915,0.034139
20140912,0.033624
20140911,0.0336
20140910,0.032601
20140909,0.032962
20140905,0.033657
20140904,0.034525
20140903,0.035195
20140902,0.036642
20140901,0.036609
20140829,0.038101
20140828,0.038059
20140827,0.036181
20140826,0.035937
20140825,0.037556
20140822,0.035958
20140821,0.034975
20140820,0.034325
20140819,0.034316
20140818,0.034479
20140815,0.034423
20140814,0.034566
20140813,0.034625
20140812,0.034216
20140811,0.035415
20140808,0.035592
20140807,0.036634
20140806,0.035967
20140805,0.037911
20140804,0.039541
20140801,0.039865
20140731,0.040639
20140730,0.039908
20140729,0.040024
20140728,0.041967
20140725,0.042651
20140724,0.043794
20140723,0.045385
20140722,0.041924
20140721,0.041097
20140718,0.038465
20140717,0.038658
20140716,0.03711
20140715,0.03757
20140714,0.038981
20140711,0.038043
20140710,0.038922
20140709,0.038867
20140708,0.03663
20140707,0.035733
20140704,0.034964
20140703,0.035185
20140702,0.041051
20140701,0.044717
20140630,0.039914
20140627,0.039165
20140626,0.037586
20140625,0.039929
20140624,0.037622
20140623,0.036195
20140620,0.036115
20140619,0.035033
20140618,0.033237
20140617,0.03243
20140616,0.032017
20140613,0.031026
20140612,0.032389
