date,M2,dM2,M2_growth
20150630,13333753600,580425800,0.045511713
20150331,12753327800,469579735,0.038227724
20141231,12283748065,263233965,0.021898728
20140930,12020514100,-75357900,-0.006230051
20140630,12095872000,488998200,0.042130052
20140331,11606873800,541782300,0.048963201
20131231,11065091500,291299870,0.027037823
20130930,10773791630,229754730,0.021790016
20130630,10544036900,185453200,0.017903336
20130331,10358583700,617095700,0.06334717
20121231,9741488000,304600466,0.032277641
20120930,9436887534,186975534,0.020213764
20120630,9249912000,294257000,0.032857117
20120331,8955655000,439736900,0.051637051
20111231,8515918100,641856100,0.081515246
20110930,7874062000,65853500,0.008433881
20110630,7808208500,226899700,0.02992883
20110331,7581308800,322790900,0.044470635
20101231,7258517900,293802900,0.042184483
20100930,6964715000,225497800,0.033460533
20100630,6739217200,239088200,0.03678207
20100331,6500129000,397883800,0.065202854
20091231,6102245200,248191800,0.042396573
20090930,5854053400,164891400,0.028983425
20090630,5689162000,382894900,0.072158995
20090331,5306267100,554601100,0.116717189
20081231,4751666000,222678900,0.049167484
20080930,4528987100,97576900,0.022019379
20080630,4431410200,200864900,0.047479671
20080331,4230545300,196532300,0.048718807
20071231,4034013000,103023900,0.026208137
20070930,3930989100,152667600,0.040406196
20070630,3778321500,137274900,0.037702044
20070331,3641046600,185267500,0.053610921
20061231,3455779100,137125500,0.041319618
20060930,3318653600,91090100,0.028222559
20060630,3227563500,122657000,0.039504249
20060331,3104906500,117349800,0.039279522
20051231,2987556700,113174000,0.039373324
20050930,2874382700,116527400,0.042252906
20050630,2757855300,111965900,0.042316924
20050331,2645889400,113812400,0.044948238
20041231,2532077000,94508200,0.038771501
20040930,2437568800,53293900,0.022352246
20040630,2384274900,67728900,0.029237019
20040331,2316546000,104317800,0.047155081
20031231,2212228200,76556900,0.035846762
20030930,2135671300,86597100,0.042261574
20030630,2049074200,104201200,0.05357738
20030331,1944873000,94803300,0.051243096
20021231,1850069700,80217600,0.045324465
20020930,1769852100,73839700,0.043537241
20020630,1696012400,55366700,0.033746896
20020331,1640645700,57626500,0.036402907
20011231,1583019200,64793200,0.042676914
20010930,1518226000,40129300,0.027149306
20010630,1478096700,90652100,0.065337456
20010331,1387444600,41342000,0.030712369
20001231,1346102600,41364200,0.03170306
20000930,1304738400,38685100,0.030555665
20000630,1266053300,39985100,0.03261246
20000331,1226068200,27089200,0.022593557
19991231,1198979000,48186000,0.041871996
19990930,1150793000,37158000,0.033366408
19990630,1113635000,29253000,0.026976656
19990331,1084382000,39397000,0.03770102
19981231,1044985000,47040000,0.047136866
19980930,997945000,51369000,0.054268226
19980630,946576000,26426000,0.028719231
19980331,920150000,10197000,0.011206073
19971231,909953000,51033000,0.059415312
19970930,858920000,31030000,0.037480825
19970630,827890000,29000000,0.036300367
19970331,798890000,37941000,0.049860109
19961231,760949000,64519000,0.092642477
19960930,696430000,15110000,0.022177538
19960630,681320000,36210000,0.056129962
19960331,645110000,37605000,0.061900725
