year,quarter,M2,GDP,M2/GDP
1992,1,20608,4974,4.14
1992,2,22118,6358,3.48
1992,3,23564,7119,3.31
1992,4,25402,8472,3
1993,1,29460,6501,4.53
1993,2,30860,8043,3.84
1993,3,31796,9048,3.51
1993,4,34880,11742,2.97
1994,1,37010,9065,4.08
1994,2,40040,11085,3.61
1994,3,43514,12447,3.5
1994,4,46924,15601,3.01
1995,1,50297,11858,4.24
1995,2,53150,14109,3.77
1995,3,56813,15535,3.66
1995,4,60751,19291,3.15
1996,1,64512,14261,4.52
1996,2,68133,16601,4.1
1996,3,72043,17671,4.08
1996,4,76095,22644,3.36
1997,1,79736,16257,4.9
1997,2,82812,18698,4.43
1997,3,85892,19148,4.49
1997,4,90995,24871,3.66
1998,1,92038,17501,5.26
1998,2,94658,19721,4.8
1998,3,99795,20373,4.9
1998,4,104499,26807,3.9
1999,1,108438,18790,5.77
1999,2,111364,20765,5.36
1999,3,115079,21859,5.26
1999,4,119898,28263,4.24
2000,1,122581,20647,5.94
2000,2,126605,23101,5.48
2000,3,130474,24339,5.36
2000,4,134610,31127,4.32
2001,1,138745,23300,5.95
2001,2,147810,25651,5.76
2001,3,151820,26867,5.65
2001,4,158302,33837,4.68
2002,1,164065,25376,6.47
2002,2,169601,27965,6.06
2002,3,176985,29716,5.96
2002,4,185007,37276,4.96
2003,1,194487,28862,6.74
2003,2,204907,31007,6.61
2003,3,213567,33460,6.38
2003,4,221223,42494,5.21
2004,1,231655,33421,6.93
2004,2,238427,36985,6.45
2004,3,243757,39562,6.16
2004,4,253208,49911,5.07
2005,1,264589,39117,6.76
2005,2,275786,42795,6.44
2005,3,287438,44744,6.42
2005,4,298755,58280,5.13
2006,1,310491,45316,6.85
2006,2,322756,50113,6.44
2006,3,331865,51913,6.39
2006,4,345578,68973,5.01
2007,1,364105,54756,6.65
2007,2,377832,61243,6.17
2007,3,393099,64102,6.13
2007,4,403401,85709,4.71
2008,1,423055,66284,6.38
2008,2,443141,74194,5.97
2008,3,452899,76548,5.92
2008,4,475167,97019,4.9
2009,1,530627,69817,7.6
2009,2,568916,78387,7.26
2009,3,585405,83100,7.04
2009,4,610225,109599,5.57
2010,1,649947,82613,7.87
2010,2,673922,92265,7.3
2010,3,696472,97748,7.13
2010,4,725852,128886,5.63
2011,1,758131,97480,7.78
2011,2,780821,109009,7.16
2011,3,787406,115857,6.8
2011,4,851591,150759,5.65
2012,1,895566,108472,8.26
2012,2,924991,119531,7.74
2012,3,943689,125738,7.51
2012,4,974149,165729,5.88
2013,1,1035858,118862,8.71
2013,2,1054404,129162,8.16
2013,3,1077379,139076,7.75
2013,4,1106509,200919,5.51
2014,1,1160687,128213,9.05
2014,2,1209587,140831,8.59
2014,3,1202051,150864,7.97
2014,4,1228375,216555,5.67
2015,1,1275300,140667,9.07
