stockid,stockname,date,asset,asset,equity,eta
000001.SZ,平安银行,20140930,214435800,19.18352095,12673600,0.059102072
000001.SZ,平安银行,20140630,213647500,19.17983802,12094000,0.056607262
000001.SZ,平安银行,20140331,209710200,19.16123714,11730000,0.055934332
000001.SZ,平安银行,20131231,189174100,19.05817831,11208100,0.05924754
000001.SZ,平安银行,20130930,185561900,19.03889908,9491300,0.05114897
000001.SZ,平安银行,20130630,182699800,19.02335493,9154200,0.050105145
000001.SZ,平安银行,20130331,181124900,19.01469741,8875900,0.049004306
000001.SZ,平安银行,20121231,160653676,18.89476153,8479877.5,0.052783588
000001.SZ,平安银行,20120930,147753074.4,18.81105302,8172588.5,0.055312477
000001.SZ,平安银行,20120630,149062285.1,18.8198748,7982261,0.053549837
000001.SZ,平安银行,20120331,136800506.5,18.73403427,7895742.3,0.057717201
000001.SZ,平安银行,20111231,125817694.4,18.65034455,7538058.4,0.059912546
000001.SZ,平安银行,20110930,120721249.9,18.60899473,7168626.4,0.059381645
000001.SZ,平安银行,20110630,85205702.5,18.26057892,3815239.5,0.044776809
000001.SZ,平安银行,20110331,80756344.5,18.20694709,3595007.1,0.044516714
000001.SZ,平安银行,20101231,72761006.8,18.10269075,3351287.6,0.04605884
000001.SZ,平安银行,20100930,67506387.8,18.02773279,3214413.5,0.047616435
000001.SZ,平安银行,20100630,62439817.9,17.94971374,3042110.8,0.048720687
000001.SZ,平安银行,20100331,61992762.5,17.9425282,2210982.6,0.035665173
000001.SZ,平安银行,20091231,58781103.4,17.88933099,2046960.9,0.034823451
000001.SZ,平安银行,20090930,55426468.4,17.83056781,1908843.5,0.034439205
000001.SZ,平安银行,20090630,54122573.6,17.80676191,1798739.2,0.033234547
000001.SZ,平安银行,20090331,52187939.8,17.77036199,1707212.9,0.032712786
000001.SZ,平安银行,20081231,47444017.3,17.67506099,1640079,0.034568721
000001.SZ,平安银行,20080930,44145439.8,17.60300019,1837466.3,0.041623015
000001.SZ,平安银行,20080630,44182348.4,17.60383591,1694329.9,0.03834857
000001.SZ,平安银行,20080331,40947392.3,17.52779869,1404138.4,0.034291278
000001.SZ,平安银行,20071231,35253936.1,17.37808774,1300606.3,0.036892513
000001.SZ,平安银行,20070930,34052693.9,17.3434197,836355.3,0.024560621
000001.SZ,平安银行,20070630,31405600.6,17.2624968,769847.8,0.024513074
000001.SZ,平安银行,20070331,28765861.09,17.17469986,710609.4,0.02470322
000001.SZ,平安银行,20061231,26057626.32,17.07582104,647446.32,0.024846711
000001.SZ,平安银行,20060930,24623027.73,17.01919265,605395.45,0.024586556
000001.SZ,平安银行,20060630,24282388.28,17.00526188,559204.03,0.023029202
000001.SZ,平安银行,20060331,23955757.46,16.99171925,526413.3,0.021974396
000001.SZ,平安银行,20051231,22232468.66,16.91706433,505441.06,0.022734365
000001.SZ,平安银行,20050930,22051594.39,16.90889547,501496.61,0.022741966
000001.SZ,平安银行,20050630,21050561.86,16.86243781,489214.91,0.023239993
000001.SZ,平安银行,20050331,20120398.96,16.81724473,483878.87,0.024049169
000001.SZ,平安银行,20041231,20428642.4,16.83244851,468466.23,0.022931834
000001.SZ,平安银行,20040930,19884819.55,16.80546716,437212.16,0.021987233
000001.SZ,平安银行,20040630,20319444.36,16.82708884,425080.43,0.020919885
000001.SZ,平安银行,20040331,21249734.48,16.87185496,417870.88,0.019664758
000001.SZ,平安银行,20031231,19345341.53,16.7779622,439488.9,0.022718074
000001.SZ,平安银行,20030930,19339629.15,16.77766687,398188.95,0.020589275
000001.SZ,平安银行,20030630,17545483.09,16.6803071,433023.59,0.024680061
000001.SZ,平安银行,20030331,16246741.96,16.60340295,392123.21,0.024135498
000001.SZ,平安银行,20021231,16616637.94,16.62591504,376802.14,0.022676196
000001.SZ,平安银行,20020930,16002197.08,16.58823659,405819.36,0.025360228
000001.SZ,平安银行,20020630,13468902.03,16.41589403,394185.6,0.02926635
000001.SZ,平安银行,20020331,11068855.26,16.21964589,381191.61,0.034438214
