stockid,stockname,date,loan,deposit,ltd
000001.SZ,平安银行,20141231,102473400,153318300,0.668370312
000001.SZ,平安银行,20140630,93822700,150890400,0.621793699
000001.SZ,平安银行,20131231,84728900,121700200,0.696210031
000001.SZ,平安银行,20130630,78648400,117536100,0.669142502
000001.SZ,平安银行,20121231,72078004.8,102110770.2,0.705880532
000001.SZ,平安银行,20120630,68290553,94957797.5,0.719167407
000001.SZ,平安银行,20111231,62064181.7,85084514.7,0.729441567
000001.SZ,平安银行,20110630,44848382.6,63249654.3,0.709069213
000001.SZ,平安银行,20101231,40739113.5,56291234.2,0.723720382
000001.SZ,平安银行,20100630,37362473.6,50598833.8,0.738405825
000001.SZ,平安银行,20091231,35951741.3,45463520.8,0.790782163
000001.SZ,平安银行,20090630,34234588.5,41657188.2,0.821817074
000001.SZ,平安银行,20081231,28374136.6,36051403.6,0.787046655
000001.SZ,平安银行,20080630,24637253.6,34313986.4,0.717994503
000001.SZ,平安银行,20071231,22181359.8,28127698.1,0.788594919
000001.SZ,平安银行,20070630,20741381.9,26646579.9,0.778388145
000001.SZ,平安银行,20061231,18218194.7,23220632.77,0.784569261
000001.SZ,平安银行,20060630,17593948.07,21171555.2,0.831018218
000001.SZ,平安银行,20051231,15610302.4,20181580.1,0.773492577
000001.SZ,平安银行,20050630,13533933.53,17613589.16,0.768380221
000001.SZ,平安银行,20041231,12619546.32,16726624.85,0.754458621
000001.SZ,平安银行,20040630,14141306.2,16134936.21,0.876440168
000001.SZ,平安银行,20031231,11011950.54,14174764.67,0.776870078
000001.SZ,平安银行,20030630,8878460.28,11647866.01,0.762239218
000001.SZ,平安银行,20021231,8411471.78,11469250.95,0.733393298
000001.SZ,平安银行,20020630,7023000,9359400,0.750368613
000001.SZ,平安银行,20011231,5346508.36,8787662.41,0.608410759
000001.SZ,平安银行,20010630,5021236,6883126,0.729499358
000001.SZ,平安银行,20001231,3821116.14,5226533.23,0.731099559
000001.SZ,平安银行,20000630,2784900,4039400,0.689434074
000001.SZ,平安银行,19991231,2655300,3761700,0.705877662
002142.SZ,宁波银行,20140930,20095134.9,30705959.4,0.654437617
002142.SZ,宁波银行,20140630,19091780.2,30588396.2,0.624151069
002142.SZ,宁波银行,20131231,17118966.6,25527832.7,0.670600078
002142.SZ,宁波银行,20130630,15882041.6,25468975.4,0.623583845
002142.SZ,宁波银行,20121231,14561754.3,20757727,0.701510059
002142.SZ,宁波银行,20120630,13627536.6,20446180.4,0.666507696
002142.SZ,宁波银行,20111231,12274511,17673665.6,0.694508501
002142.SZ,宁波银行,20110630,11374374.4,17272370.9,0.658529999
002142.SZ,宁波银行,20101231,10157440.7,14582797.9,0.696535793
002142.SZ,宁波银行,20100630,9360569,12837482,0.72915927
002142.SZ,宁波银行,20091231,8186384.9,11075246.1,0.739160541
002142.SZ,宁波银行,20090630,6424869.68,9702752.9,0.662169772
002142.SZ,宁波银行,20081231,4915596.59,7622173.97,0.644907425
002142.SZ,宁波银行,20080630,4387613.49,6421684.18,0.683249653
002142.SZ,宁波银行,20071231,3650245.63,5551404.43,0.657535526
002142.SZ,宁波银行,20070630,3361604.89,5147678.3,0.653033211
002142.SZ,宁波银行,20061231,2813489.9,4619139.64,0.609093926
002142.SZ,宁波银行,20051231,1960913.3,3752124.2,0.522614177
002142.SZ,宁波银行,20041231,1729544.4,2975505.54,0.581260689
600000.SH,浦发银行,20141231,202838000,272400400,0.744631799
600000.SH,浦发银行,20140630,189834400,275678300,0.688608425
600000.SH,浦发银行,20131231,176749400,241969600,0.730461182
600000.SH,浦发银行,20130630,167828600,238796800,0.70280925
600000.SH,浦发银行,20121231,154455300,213436500,0.723659262
600000.SH,浦发银行,20120630,145243687,206174919.2,0.704468262
600000.SH,浦发银行,20111231,133143604.4,185105512.1,0.719284925
600000.SH,浦发银行,20110630,123740664.5,175091745.6,0.706719007
600000.SH,浦发银行,20101231,114648930.1,163867959,0.699642144
600000.SH,浦发银行,20100630,105060960.3,144469333.6,0.727219803
600000.SH,浦发银行,20091231,92885475,129534234.2,0.717072792
600000.SH,浦发银行,20090630,93871837.2,123445617.3,0.7604307
600000.SH,浦发银行,20081231,69756467,94729358.2,0.736376434
600000.SH,浦发银行,20080630,62167169.8,83352790.2,0.745831899
600000.SH,浦发银行,20071231,55098837.8,76347289.3,0.72168689
600000.SH,浦发银行,20070630,52427208.8,64147138.1,0.817296147
600000.SH,浦发银行,20061231,46089300.2,59648849.8,0.772677099
600000.SH,浦发银行,20060630,43081679.9,55911672.5,0.770531053
600000.SH,浦发银行,20051231,37722293.7,50557562.9,0.746125635
600000.SH,浦发银行,20050630,33995015.6,43494199.8,0.781598828
600000.SH,浦发银行,20041231,31090514,39538177,0.786341616
600000.SH,浦发银行,20040630,28086427.8,35584626,0.789285457
600000.SH,浦发银行,20031231,25511133.9,32211409.4,0.791990614
600000.SH,浦发银行,20030630,23060799,28300437.5,0.814856625
600000.SH,浦发银行,20021231,17437747.7,24391323.7,0.714916005
600000.SH,浦发银行,20020630,13238202.6,17594883.3,0.752389338
600000.SH,浦发银行,20011231,9715146.9,14827128.8,0.655227794
600000.SH,浦发银行,20010630,8570719.9,12321604.3,0.695584738
600000.SH,浦发银行,20001231,6989728.8,10612969.1,0.658602577
600000.SH,浦发银行,20000630,6185000,9014000,0.68615487
600000.SH,浦发银行,19991231,5471900,8087300,0.676604058
600015.SH,华夏银行,20140930,91039400,126792200,0.718020509
600015.SH,华夏银行,20140630,89195200,129179400,0.690475416
600015.SH,华夏银行,20131231,82316900,117759200,0.699027337
600015.SH,华夏银行,20130630,77267100,109259100,0.707191438
600015.SH,华夏银行,20121231,72016802.4,103600011.2,0.695142805
600015.SH,华夏银行,20120630,67059129.94,96885186.61,0.692150496
600015.SH,华夏银行,20111231,61146291.7,89602365.4,0.682418276
600015.SH,华夏银行,20110630,57067509,81759167.9,0.697995228
600015.SH,华夏银行,20101231,52793668.1,76762224.9,0.687755835
600015.SH,华夏银行,20100630,48902212.7,67180944.6,0.727917909
600015.SH,华夏银行,20091231,43022558.4,58167838.8,0.739627933
600015.SH,华夏银行,20090630,42591211.1,56358404.3,0.755720671
600015.SH,华夏银行,20081231,35547783.8,48534957.7,0.732416087
600015.SH,华夏银行,20080630,33424578.1,45732075.69,0.73087822
600015.SH,华夏银行,20071231,30607767,43878225.9,0.697561635
600015.SH,华夏银行,20070630,29026654.9,38038318.2,0.76308986
600015.SH,华夏银行,20061231,25976714.5,37129502.4,0.699624633
600015.SH,华夏银行,20060630,26083045.1,33765707.7,0.772471447
600015.SH,华夏银行,20051231,23368752.4,31050349.9,0.752608343
600015.SH,华夏银行,20050630,20524238.9,28054240.6,0.73159132
600015.SH,华夏银行,20041231,18111220.2,26784237.2,0.676189509
600015.SH,华夏银行,20040630,17011031.6,22246311.8,0.764667499
600015.SH,华夏银行,20031231,15075575.9,20931376,0.720238168
600015.SH,华夏银行,20030630,12431176.1,16881692.8,0.736370235
600015.SH,华夏银行,20021231,8831098.2,14781416.3,0.597446011
600015.SH,华夏银行,20011231,6642245.3,11037972.8,0.601763152
600015.SH,华夏银行,20001231,5658887.3,7905956.9,0.715775126
600016.SH,民生银行,20140930,175096900,239769000,0.730273305
600016.SH,民生银行,20140630,169628300,242057700,0.700776303
600016.SH,民生银行,20131231,157426300,214668900,0.7333447
600016.SH,民生银行,20130630,148497000,217497500,0.682752675
600016.SH,民生银行,20121231,138461000,192619400,0.718832059
600016.SH,民生银行,20120630,130325700,181096300,0.719648607
600016.SH,民生银行,20111231,120522100,164473800,0.732773852
600016.SH,民生银行,20110630,114227400,153658600,0.74338436
600016.SH,民生银行,20101231,105757100,141693900,0.746377226
600016.SH,民生银行,20100630,95484600,131956000,0.723609385
600016.SH,民生银行,20091231,88297900,112793800,0.782825829
600016.SH,民生银行,20090630,90393400,107530900,0.840627206
600016.SH,民生银行,20081231,65836000,78578600,0.837836256
600016.SH,民生银行,20080630,61205060.1,76040419.2,0.804901666
600016.SH,民生银行,20071231,55495852.8,67121943,0.826791513
