stockid,stockname,date,ROE,ROA
000001.SZ,平安银行,20140930,0.0454,0.0026
000001.SZ,平安银行,20140630,0.0421,0.0024
000001.SZ,平安银行,20140331,0.0441,0.0025
000001.SZ,平安银行,20131231,0.0342,0.0019
000001.SZ,平安银行,20130930,0.0447,0.0023
000001.SZ,平安银行,20130630,0.0437,0.0022
000001.SZ,平安银行,20130331,0.0414,0.0021
000001.SZ,平安银行,20121231,0.038,0.0021
000001.SZ,平安银行,20120930,0.043,0.0023
000001.SZ,平安银行,20120630,0.0426,0.0024
000001.SZ,平安银行,20120331,0.0457,0.0027
000001.SZ,平安银行,20111231,0.0362,0.0021
000001.SZ,平安银行,20110930,0.0548,0.0029
000001.SZ,平安银行,20110630,0.0629,0.0028
000001.SZ,平安银行,20110331,0.0692,0.0031
000001.SZ,平安银行,20101231,0.0472,0.0022
000001.SZ,平安银行,20100930,0.0544,0.0026
000001.SZ,平安银行,20100630,0.0554,0.0023
000001.SZ,平安银行,20100331,0.0741,0.0026
000001.SZ,平安银行,20091231,0.0704,0.0024
000001.SZ,平安银行,20090930,0.0715,0.0024
000001.SZ,平安银行,20090630,0.0678,0.0022
000001.SZ,平安银行,20090331,0.067,0.0023
000001.SZ,平安银行,20081231,0.1555,0.0059
000001.SZ,平安银行,20080930,0.0664,0.0027
000001.SZ,平安银行,20080630,0.0736,0.0027
000001.SZ,平安银行,20080331,0.0743,0.0026
000001.SZ,平安银行,20071231,0.0727,0.0022
000001.SZ,平安银行,20070930,0.0933,0.0023
000001.SZ,平安银行,20070630,0.0796,0.002
000001.SZ,平安银行,20070331,0.0788,0.002
000001.SZ,平安银行,20061231,0.0659,0.0016
000001.SZ,平安银行,20060930,0.0733,0.0017
000001.SZ,平安银行,20060630,0.0425,0.001
000001.SZ,平安银行,20060331,0.0452,0.001
000001.SZ,平安银行,20051231,0.0029,0.0001
000001.SZ,平安银行,20050930,0.0321,0.0007
000001.SZ,平安银行,20050630,0.0008,0
000001.SZ,平安银行,20050331,0.0324,0.0008
000001.SZ,平安银行,20041231,0.0259,0.0006
000001.SZ,平安银行,20040930,0.0281,0.0006
000001.SZ,平安银行,20040630,0.0169,0.0003
000001.SZ,平安银行,20040331,0.05,0.0011
000001.SZ,平安银行,20031231,0.0004,0
000001.SZ,平安银行,20030930,0.0207,0.0005
000001.SZ,平安银行,20030630,0.0284,0.0007
000001.SZ,平安银行,20030331,0.0399,0.0009
002142.SZ,宁波银行,20140930,0.0484,0.0028
002142.SZ,宁波银行,20140630,0.056,0.003
002142.SZ,宁波银行,20140331,0.0568,0.003
002142.SZ,宁波银行,20131231,0.0357,0.002
002142.SZ,宁波银行,20130930,0.0538,0.003
002142.SZ,宁波银行,20130630,0.0557,0.0031
002142.SZ,宁波银行,20130331,0.0558,0.0032
002142.SZ,宁波银行,20121231,0.0337,0.0021
002142.SZ,宁波银行,20120930,0.0563,0.0038
002142.SZ,宁波银行,20120630,0.0561,0.0041
002142.SZ,宁波银行,20120331,0.0538,0.0039
002142.SZ,宁波银行,20111231,0.0381,0.0028
002142.SZ,宁波银行,20110930,0.0518,0.0036
002142.SZ,宁波银行,20110630,0.05,0.0031
002142.SZ,宁波银行,20110331,0.05,0.003
002142.SZ,宁波银行,20101231,0.0329,0.0018
002142.SZ,宁波银行,20100930,0.0568,0.0028
002142.SZ,宁波银行,20100630,0.0735,0.0039
002142.SZ,宁波银行,20100331,0.0498,0.0029
002142.SZ,宁波银行,20091231,0.037,0.0023
002142.SZ,宁波银行,20090930,0.0432,0.0029
002142.SZ,宁波银行,20090630,0.0388,0.0028
002142.SZ,宁波银行,20090331,0.0395,0.0032
002142.SZ,宁波银行,20081231,0.0236,0.002
002142.SZ,宁波银行,20080930,0.0473,0.0042
002142.SZ,宁波银行,20080630,0.0474,0.0046
002142.SZ,宁波银行,20080331,0.0413,0.0043
002142.SZ,宁波银行,20071231,0.0399,0.0042
002142.SZ,宁波银行,20070930,0.0463,0.0036
002142.SZ,宁波银行,20070630,0.0503,0.0025
002142.SZ,宁波银行,20061231,0.0591,0.0033
600000.SH,浦发银行,20140930,0.054,0.0031
600000.SH,浦发银行,20140630,0.0549,0.0031
600000.SH,浦发银行,20140331,0.0509,0.0029
600000.SH,浦发银行,20131231,0.0555,0.0031
600000.SH,浦发银行,20130930,0.0546,0.003
600000.SH,浦发银行,20130630,0.0561,0.0031
600000.SH,浦发银行,20130331,0.0489,0.0027
600000.SH,浦发银行,20121231,0.0464,0.0026
600000.SH,浦发银行,20120930,0.0539,0.0029
600000.SH,浦发银行,20120630,0.0583,0.0032
600000.SH,浦发银行,20120331,0.0516,0.0029
600000.SH,浦发银行,20111231,0.0511,0.0028
600000.SH,浦发银行,20110930,0.0515,0.0028
600000.SH,浦发银行,20110630,0.052,0.0029
600000.SH,浦发银行,20110331,0.0481,0.0027
600000.SH,浦发银行,20101231,0.0424,0.0021
600000.SH,浦发银行,20100930,0.0731,0.0031
600000.SH,浦发银行,20100630,0.0672,0.0029
600000.SH,浦发银行,20100331,0.0586,0.0025
600000.SH,浦发银行,20091231,0.044,0.0018
600000.SH,浦发银行,20090930,0.0628,0.0022
600000.SH,浦发银行,20090630,0.0832,0.0024
600000.SH,浦发银行,20090331,0.0683,0.0021
600000.SH,浦发银行,20081231,0.067,0.0022
600000.SH,浦发银行,20080930,0.0954,0.0033
600000.SH,浦发银行,20080630,0.1079,0.0036
600000.SH,浦发银行,20080331,0.0942,0.003
600000.SH,浦发银行,20071231,0.0566,0.0018
600000.SH,浦发银行,20070930,0.0512,0.0017
