stockid,stockname,date,loan,npl,npl_p
000001.SZ,平安银行,20141231,102473400,1050100,0.010247537
000001.SZ,平安银行,20140630,93822700,866800,0.009238702
000001.SZ,平安银行,20131231,84728900,754100,0.008900151
000001.SZ,平安银行,20130630,78648400,763700,0.009710306
000001.SZ,平安银行,20121231,72078100,686600,0.009525778
000001.SZ,平安银行,20120630,68290600,497100,0.007279186
000001.SZ,平安银行,20111231,62064200,329500,0.005309019
000001.SZ,平安银行,20110630,44848400,197300,0.004399265
000001.SZ,平安银行,20101231,40739200,236700,0.005810129
000001.SZ,平安银行,20100630,37362473.5,229209.6,0.006134754
000001.SZ,平安银行,20091231,35951741.3,244367.2,0.006797089
000001.SZ,平安银行,20090630,34234588.5,247160.5,0.007219614
000001.SZ,平安银行,20081231,28374136.6,192760.6,0.006793532
000001.SZ,平安银行,20080630,24637253.6,1142119.6,0.046357424
000001.SZ,平安银行,20071231,22181359.8,1247533.7,0.056242436
000001.SZ,平安银行,20070630,20741400,1451800,0.069995275
000001.SZ,平安银行,20061231,18218200,1456500,0.079947525
000001.SZ,平安银行,20060630,17593900,1467200,0.083392539
000001.SZ,平安银行,20051231,15610300,1457200,0.093348622
000001.SZ,平安银行,20050630,13533900,1453200,0.107374814
000001.SZ,平安银行,20041231,12619546.32,1440434.01,0.11414309
000001.SZ,平安银行,20040630,14141306.19,1248639.94,0.088297356
000001.SZ,平安银行,20031231,13283952.74,1159656.86,0.087297575
000001.SZ,平安银行,20030630,8878460,977567,0.110105469
000001.SZ,平安银行,20021231,8411471.78,976487.04,0.116089915
000001.SZ,平安银行,20020630,9365954.5,945500,0.100950736
000001.SZ,平安银行,20011231,7007177.63,818565.11,0.11681809
000001.SZ,平安银行,20010630,5021236,913410,0.181909394
000001.SZ,平安银行,20001231,3585840,814721,0.227205062
002142.SZ,宁波银行,20140930,20095134.9,178916.7,0.008903483
002142.SZ,宁波银行,20140630,19091780.2,170339.3,0.008922128
002142.SZ,宁波银行,20131231,17118966.6,152522.1,0.008909539
002142.SZ,宁波银行,20130630,15882041.6,131374.2,0.008271871
002142.SZ,宁波银行,20121231,14561754.2,110858.4,0.007612984
002142.SZ,宁波银行,20120630,13627536.6,97894.3,0.007183565
002142.SZ,宁波银行,20111231,12274511,83210.2,0.006779105
002142.SZ,宁波银行,20110630,11374374.4,78877.8,0.006934693
002142.SZ,宁波银行,20101231,10157440.7,70352.7,0.006926223
002142.SZ,宁波银行,20100630,9360569,57813.1,0.006176238
002142.SZ,宁波银行,20091231,8186384.9,64450.5,0.007872889
002142.SZ,宁波银行,20090630,6424869.68,54394.27,0.008466206
002142.SZ,宁波银行,20081231,4915596.59,45219.5,0.009199189
002142.SZ,宁波银行,20080630,4387613.49,17414.4,0.003968991
002142.SZ,宁波银行,20071231,3650245.62,13009.83,0.003564097
002142.SZ,宁波银行,20070630,3361604.88,11818.94,0.003515862
002142.SZ,宁波银行,20061231,2813489.93,9186.01,0.003264988
002142.SZ,宁波银行,20051231,1960913.28,11942.62,0.006090336
