stockid,date,loan,provision_coverage,loanlossreserve_loan,netcapital,car,core1_netcapital,core1car,rwa
000001,20140930,98369608,1.967399895,0.018500001,15987924,0.12435,11333619.07,0.088150002,128571966
000001,20140630,93822704,1.98179996,0.018300001,14965732,0.1197,10919400,0.087300003,125027000
000001,20140331,89275800,1.996200025,0.0181,13943540,0.115049999,10477349.71,0.086450003,121195481.1
000001,20131231,84728896,2.01060009,0.017899999,12921348,0.110399999,10016100,0.085600004,117041200
000001,20130930,81688648,1.923000038,0.017849999,11766980,0.104699999,8906716.122,0.07925,112387584.5
000001,20130630,78648400,1.835399985,0.0178,10612612,0.098999999,7809900,0.072899997,107198096
000001,20130331,75363204,1.829299986,0.0176,10399606,0.106350001,7764256.709,0.079399999,97786609.38
000001,20121231,72078008,1.823199987,0.0174,10186600,0.113700002,7689600,0.085900001,89559272
000001,20120930,70184280,2.101400018,0.01735,9914550,0.113850001,7415229.867,0.08515,87084320.52
000001,20120630,68290552,2.379600048,0.0173,9642500,0.114,7137500,0.084399998,84583336
000001,20120331,65177366,2.793099999,0.017150001,9395800,0.114549998,6930991.806,0.0845,82023571.79
000001,20111231,62064180,3.206599951,0.017000001,9149100,0.115099996,6723175.5,0.084600002,79470160
000001,20110930,53456282,3.501999974,0.01685,7410350,0.11045,5186238.698,0.077300001,67092349.74
000001,20110630,44848384,3.797399998,0.0167,5671600,0.105800003,3753800,0.07,53606804
000001,20110331,42793748,3.256199956,0.016249999,5199400,0.10385,3529684.239,0.070500001,50066442.17
000001,20101231,40739112,2.714999914,0.015799999,4727200,0.101899996,3291900,0.071000002,46369100
000001,20100930,39050792,2.477949977,0.01475,4519055,0.102999996,3137014.001,0.0715,43874321.92
000001,20100630,37362472,2.24090004,0.0137,4310910,0.104099996,2981609,0.071999997,41411240
000001,20100331,36657106,1.929650009,0.01235,3750717,0.096449997,2473256.619,0.063599998,38887683.84
000001,20091231,35951740,1.618399978,0.011,3190524,0.088799998,1985428.25,0.055199999,35929324
000001,20090930,35093164,1.474550009,0.0103,3050555.5,0.087499999,1847765.055,0.052999999,34863492.02
000001,20090630,34234588,1.33070004,0.0096,2910587,0.086199999,1715287.875,0.050799999,33765512
000001,20090331,31304362,1.191049993,0.00835,2653265,0.085999999,1596586.82,0.051750001,30851918.89
000001,20081231,28374136,1.051399946,0.0071,2395943,0.0858,1471015.25,0.052700002,27924744
000001,20080930,26505695,0.794449985,0.016,2329639.125,0.085549999,1554908.236,0.057100002,27231316.79
000001,20080630,24637254,0.537500024,0.024900001,2263335.25,0.085299999,1631830.25,0.061500002,26533824
000001,20080331,23409307,0.510150015,0.02605,1766267.625,0.0715,1472301.443,0.059600001,24703043.84
000001,20071231,22181360,0.482800007,0.0272,1269200,0.057700001,1269200,0.057700001,21996534
000001,20070930,21461371,0.483600006,0.03055,1112400,0.048250001,1112400,0.048250001,23054921.84
000001,20070630,20741382,0.484400004,0.0339,955600,0.038800001,955600,0.038800001,24628866
000001,20070331,19479788,0.480350003,0.036,798800,0.03795,795642.7127,0.037800001,21048748.47
000001,20061231,18218194,0.476300001,0.0381,642000,0.037099998,636808.625,0.036800001,17304582
000001,20060930,17906071,0.465350002,0.038000001,603625,0.036449999,601140.9661,0.0363,16560357.28
000001,20060630,17593948,0.454400003,0.037900001,565250,0.035799999,565250,0.035799999,15789106
000001,20060331,16602125,0.441050008,0.038900001,526875,0.036449999,526152.278,0.0364,14454733.06
000001,20051231,15610302,0.427700013,0.039900001,488500,0.037099998,488000,0.037,13189189
000001,20050930,14572118,0.421250001,0.042200001,449875,0.034249999,449218.2615,0.0342,13135037.02
000001,20050630,13533934,0.414799988,0.044500001,411250,0.031399999,411250,0.031399999,13097134
000001,20050331,13076740,0.384849995,0.0425,372625,0.027299999,371260.0755,0.027199999,13649267.77
000001,20041231,12619546,0.354900002,0.0405,334000,0.0232,331000,0.023,14391304
000001,20040930,13380426,0.377800003,0.03795,473775.0625,0.034137762,472387.2321,0.034037762,13878328.06
000001,20040630,14141306,0.400700003,0.035399999,613550.125,0.045075525,613550.125,0.045075525,13611602
000001,20040331,12576628.5,0.380250007,0.03665,753325.1875,0.057337763,508951.3602,0.038737763,13138377.76
000001,20031231,11011951,0.359800011,0.037900001,893100.25,0.069600001,308931,0.032400001,12831900
000001,20030930,9945205.5,0.364600003,0.0393,882875.125,0.0779,362670.1377,0.032,11333441.92
000001,20030630,8878460,0.369399995,0.0407,872650,0.086199999,319904.1875,0.031599998,10123550
000001,20030331,8644966,0.350549996,0.0396,862424.875,0.090549998,336207.603,0.0353,9524294.801
000001,20021231,8411472,0.331699997,0.0385,852199.75,0.094899997,350219.0938,0.039000001,8979976
000001,20020930,7717236,0.308699995,0.0385,841974.625,0.093849998,317590.8737,0.035400001,8971493.268
000001,20020630,7023000,0.285699993,0.0385,831749.5,0.092799999,285017.625,0.031800002,8962818
000001,20020331,6184754.25,0.36909999,0.042950001,821524.375,0.09925,259494.1037,0.031350001,8277323.68
000001,20011231,5346508.5,0.452499986,0.047400001,811299.25,0.105700001,237172.6406,0.0309,7675490
000001,20010630,5021236,0.248699993,0.032400001,790849.0625,0.137400001,165191.9063,0.0287,5755815.5
000001,20001231,3821116.25,0.247600004,0.039500002,770398.8125,0.175600007,144778.8125,0.033,4387237
000001,20000630,2784900,0.246000007,0.016100001,749948.5625,0.134900004,229042.8438,0.041200001,5559292.5
000001,19991231,2655300,0.241500005,0.0132,729498.3125,0.1417,201294.1719,0.039099999,5148188.5
000001,19990630,2525700,0.237000003,0.010299999,709048.0625,0.148499995,176665.1637,0.036999997,4774734.573
000001,19981231,2396100,0.232500002,0.007399999,688597.8125,0.155299991,154746.0487,0.034899995,4433984.873
000001,19980630,2266500,0.228,0.004499998,668147.5625,0.162099987,135195.7859,0.032799993,4121823.658
000001,19971231,2136900,0.223499998,0.001599997,647697.3125,0.168899983,117728.262,0.030699991,3834797.97
000001,19970630,2007300,0.218999997,-0.001300003,627247.0625,0.175699979,102101.6563,0.028599989,3569989.398
000001,19961231,1877700,0.214499995,-0.004200004,606796.8125,0.182499975,88110.18978,0.026499987,3324914.497
000001,19960630,1748100,0.209999993,-0.007100005,586346.5625,0.189299971,75577.65089,0.024399985,3097446.66
002142,20140930,20095134,2.411200047,0.021500001,709048.0625,0.139599994,163040.4219,0.032099999,5079141
002142,20140630,19091780,2.411799908,0.021500001,3917230.5,0.125100002,2880970,0.092,31312792
002142,20140331,18105373,2.48029995,0.022100001,3595411.25,0.122850001,2710094.232,0.092599999,29266676.64
002142,20131231,17118966,2.548799992,0.022700001,3273592,0.1206,2530560,0.093199998,27137994
002142,20130930,16500504,2.559999943,0.022,3263671.625,0.125100002,2487538.58,0.095349997,26088501.85
002142,20130630,15882042,2.571199894,0.021299999,3253751.25,0.129600003,2448259.5,0.097499996,25099042
002142,20130331,15221898,2.662549973,0.021149999,3119120.125,0.14305,2315627.768,0.106199998,21804404.92
002142,20121231,14561754,2.753900051,0.021,2984489,0.156499997,2191138.5,0.1149,19070216
002142,20120930,14094645.5,2.569050074,0.01905,2749417.5,0.151799999,2101004.169,0.116,18112104.84
002142,20120630,13627537,2.384200096,0.017100001,2514346,0.147100002,2001563.125,0.1171,17092768
002142,20120331,12951024,2.395799994,0.016700001,2408747,0.150350004,1912899.098,0.119399998,16020930.69
002142,20111231,12274511,2.407399893,0.0163,2303148,0.153600007,1824824.875,0.121699996,14994453
002142,20110930,11824442.5,2.25424993,0.01545,2224765.75,0.149900004,1753542.794,0.11815,14841665.69
002142,20110630,11374374,2.101099968,0.0146,2146383.5,0.146200001,1682459.25,0.114600003,14681146
002142,20110331,10765907.5,2.031300008,0.0141,2081385.875,0.154100001,1618105.317,0.119800001,13506722.02
002142,20101231,10157441,1.961500049,0.0136,2016388.25,0.162,1555855.25,0.125,12446841
002142,20100930,9759005,2.009200037,0.01315,1628559.938,0.135049999,1298747.94,0.107700001,12058940.78
002142,20100630,9360569,2.056900024,0.0127,1240731.625,0.108099997,1037463.875,0.090400003,11477628
002142,20100331,8773477,1.878750026,0.01305,1142460.406,0.107799999,986670.358,0.0931,10597963.01
002142,20091231,8186385,1.700600028,0.0134,1044189.188,0.107500002,930148.875,0.095799997,9713388
002142,20090930,7305627.25,1.652350008,0.0135,1006930.688,0.11795,902353.2952,0.105699997,8536928.263
002142,20090630,6424869.5,1.604099989,0.0136,969672.1875,0.128399998,873007,0.115599997,7551964
002142,20090331,5670233,1.564549983,0.0138,949601.4375,0.144950002,856901.4395,0.130799998,6551234.367
002142,20081231,4915596.5,1.524999976,0.014,929530.6875,0.161500007,840284.5,0.145999998,5755608
002142,20080930,4651605,2.379700005,0.0134,909011.8438,0.165850006,824879.5723,0.1505,5480927.408
