stockid,stockname,date,lag_close,open,high,low,close,volume,amount
881001.WI,万得全A,19991230,,1000,1000,1000,1000,2059600,23776002
881001.WI,万得全A,20000104,1000,1001.4614,1039.4764,988.3,1031.0334,818032300,9967503000
881001.WI,万得全A,20000105,1031.0334,1032.6494,1064.6526,1015.6237,1034.4385,1256931300,15059195000
881001.WI,万得全A,20000106,1034.4385,1030.9308,1083.5144,1019.1744,1076.512,1507705200,18082854000
881001.WI,万得全A,20000107,1076.512,1087.4235,1133.4583,1075.0028,1117.7781,2968796600,36516404000
881001.WI,万得全A,20000110,1117.7781,1129.5848,1161.1481,1101.6715,1141.0309,2864672000,35730924000
881001.WI,万得全A,20000111,1141.0309,1143.2721,1157.1316,1077.6835,1094.0657,2357500400,28502154000
881001.WI,万得全A,20000112,1094.0657,1088.7985,1114.2921,1049.369,1063.9691,1802490600,22076934000
881001.WI,万得全A,20000113,1063.9691,1062.8558,1082.1217,1039.3907,1054.8306,1039021800,12193368000
881001.WI,万得全A,20000114,1054.8306,1056.8113,1074.2498,1030.9907,1043.9373,941308400,11142943000
881001.WI,万得全A,20000117,1043.9373,1042.5311,1071.751,1027.212,1063.1093,993771100,11553366000
881001.WI,万得全A,20000118,1063.1093,1065.735,1086.1665,1043.0179,1059.6564,1134406600,13611122000
881001.WI,万得全A,20000119,1059.6564,1059.0337,1088.9248,1047.569,1073.338,1055145400,13088458000
881001.WI,万得全A,20000120,1073.338,1075.38,1105.8314,1062.2996,1093.3896,1369064300,17288652000
881001.WI,万得全A,20000121,1093.3896,1098.0864,1129.1331,1073.1953,1097.0056,2056463000,27041084000
881001.WI,万得全A,20000124,1097.0056,1098.4751,1133.4861,1071.1094,1112.8699,2215117200,29205724000
881001.WI,万得全A,20000125,1112.8699,1118.8855,1149.6523,1087.2203,1112.1801,2008793600,25608056000
881001.WI,万得全A,20000126,1112.1801,1113.2894,1138.1736,1091.1816,1115.3381,1468495300,18447228000
881001.WI,万得全A,20000127,1115.3381,1124.953,1159.9152,1101.703,1137.1398,2174604400,29601310000
881001.WI,万得全A,20000128,1137.1398,1144.7186,1184.8073,1119.413,1160.7866,2767864800,38202456000
881001.WI,万得全A,20000214,1160.7866,1203.426,1270.2151,1186.2888,1267.0005,3816950400,42907712000
881001.WI,万得全A,20000215,1267.0005,1302.9263,1348.6008,1243.1812,1274.366,4720127200,66485244000
881001.WI,万得全A,20000216,1274.366,1282.021,1329.1537,1236.5128,1299.8452,4628099200,64820828000
