date,trade
20150630,598563477.1
20150331,554942253.6
20141231,701162533.2
20140930,703095577.5
20140630,650371402.6
20140331,590988798.8
20131231,674433222.6
20130930,655555626.1
20130630,634662894.5
20130331,611716098
20121231,645724217.1
20120930,635386576.5
20120630,618310687.9
20120331,541888222.9
20111231,612101918.8
20110930,624095415.4
20110630,587056893.6
20110331,526755464.5
20101231,548597841.2
20100930,537585528.2
20100630,502816435.2
20100331,421678978.4
20091231,442954673.3
20090930,417273463.8
20090630,353394697
20090331,293101100.9
20081231,406371198.7
20080930,501103299.2
20080630,461239516
20080331,408509731.6
20071231,448317024.6
20070930,445900474.3
20070630,401715440.7
20070331,355287439.2
20061231,384021052.7
20060930,379779665.9
20060630,340352707.3
20060331,298778361.5
20051231,321594598.2
20050930,309078497
20050630,289526867.7
20050331,244330556.5
20041231,270149098.3
20040930,252358393.8
20040630,234467792.9
20040331,198543024.1
20031231,202924966.6
20030930,190582655
20030630,167589432.9
20030331,143745699.9
20021231,145434400.9
20020930,144468073.3
20020630,123045633
20020331,101003263.9
20011231,110438728.7
20010930,112057686.1
20010630,105621158.5
20010331,94201013.33
20001231,106709756.8
20000930,106614951.1
20000630,98034410.85
20000331,81312678.84
19991231,87804869.33
19990930,80188760.32
19990630,72646002.09
19990331,58176994.72
19981231,75771219.1
19980930,67541399.4
19980630,67328131.21
19980331,57705839.38
19971231,80971820.67
19970930,69196901.15
19970630,65816781.87
19970331,53412391.16
19961231,74855397.4
19960930,60422234.68
19960630,57996889.1
19960331,47951674.06
